source,tour,year,uk_tournament_id,tournament_name,location,match_date,series,is_outdoor,surface,round,players_remaining,best_of,winner_name,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,winner_sets,loser_sets,winner_set_1_games,loser_set_1_games,winner_set_2_games,loser_set_2_games,winner_set_3_games,loser_set_3_games,winner_set_4_games,loser_set_4_games,winner_set_5_games,loser_set_5_games,match_status,odds_b365_winner,odds_b365_loser,odds_pinnacle_winner,odds_pinnacle_loser,odds_max_winner,odds_max_loser,odds_avg_winner,odds_avg_loser,source_event_key,source_match_key,official_tournament_id,linkage_status,unmatched_reason
tennis_data_uk,atp,2016,20,Sony Ericsson Open,Miami,2016-03-24,masters_1000,True,hard,R128,128,3,Herbert P.H,Rosol L.,106,58,549,817,2,0,7,5,6,4,,,,,,,completed,1.72,2.0,1.78,2.16,1.85,2.2,1.75,2.05,2016_20_miami_sony_ericsson_open,2016_20_miami_sony_ericsson_open_2016-03-24_R128_herbert_p_h_rosol_l,403,unmatched,no_name_pair_candidate
tennis_data_uk,atp,2016,20,Sony Ericsson Open,Miami,2016-03-26,masters_1000,True,hard,R64,64,3,Nishikori K.,Herbert P.H,6,106,4070,549,2,0,6,2,7,6,,,,,,,completed,1.12,6.0,1.15,6.35,1.17,6.35,1.14,5.51,2016_20_miami_sony_ericsson_open,2016_20_miami_sony_ericsson_open_2016-03-26_R64_nishikori_k_herbert_p_h,403,unmatched,no_name_pair_candidate
tennis_data_uk,atp,2016,26,Millenium Estoril Open,Estoril,2016-04-26,atp_250,True,clay,R32,32,3,Cervantes I.,Munoz De La Nava D.,57,95,825,590,2,0,6,4,6,1,,,,,,,completed,1.44,2.62,1.54,2.62,1.54,2.75,1.49,2.55,2016_26_estoril_millenium_estoril_open,2016_26_estoril_millenium_estoril_open_2016-04-26_R32_cervantes_i_munoz_de_la_nava_d,7290,unmatched,no_name_pair_candidate
tennis_data_uk,atp,2016,26,Millenium Estoril Open,Estoril,2016-04-27,atp_250,True,clay,R16,16,3,Kyrgios N.,Cervantes I.,20,57,1765,825,2,0,7,6,7,5,,,,,,,completed,1.25,3.75,1.28,4.11,1.29,4.11,1.25,3.8,2016_26_estoril_millenium_estoril_open,2016_26_estoril_millenium_estoril_open_2016-04-27_R16_kyrgios_n_cervantes_i,7290,unmatched,no_name_pair_candidate
tennis_data_uk,atp,2016,27,Istanbul Open,Istanbul,2016-04-25,atp_250,True,clay,R32,32,3,Ramos-Vinolas A.,Mannarino A.,56,77,853,710,2,0,7,5,6,1,,,,,,,completed,1.28,3.5,1.36,3.38,1.36,3.75,1.32,3.34,2016_27_istanbul_istanbul_open,2016_27_istanbul_istanbul_open_2016-04-25_R32_ramos_vinolas_a_mannarino_a,7163,unmatched,no_name_pair_candidate
tennis_data_uk,atp,2016,27,Istanbul Open,Istanbul,2016-04-27,atp_250,True,clay,R16,16,3,Ramos-Vinolas A.,Khachanov K.,56,128,853,454,2,1,4,6,6,1,6,0,,,,,completed,1.4,2.75,1.48,2.86,1.5,2.86,1.44,2.7,2016_27_istanbul_istanbul_open,2016_27_istanbul_istanbul_open_2016-04-27_R16_ramos_vinolas_a_khachanov_k,7163,unmatched,no_name_pair_candidate
tennis_data_uk,atp,2016,27,Istanbul Open,Istanbul,2016-04-29,atp_250,True,clay,QF,8,3,Delbonis F.,Ramos-Vinolas A.,36,56,1140,853,2,0,7,6,6,4,,,,,,,completed,1.53,2.37,1.68,2.36,1.68,2.5,1.61,2.3,2016_27_istanbul_istanbul_open,2016_27_istanbul_istanbul_open_2016-04-29_QF_delbonis_f_ramos_vinolas_a,7163,unmatched,no_name_pair_candidate
tennis_data_uk,atp,2016,39,Wimbledon,London,2016-06-28,grand_slam,True,grass,R128,128,5,Granollers M.,Estrella Burgos V.,340,77,138,707,3,1,6,2,6,4,2,6,6,4,,,completed,1.3,3.5,1.29,4.05,1.31,4.2,1.28,3.62,2016_39_london_wimbledon,2016_39_london_wimbledon_2016-06-28_R128_granollers_m_estrella_burgos_v,540,unmatched,no_name_pair_candidate
