year,tour,source_match_key,canonical_match_key,official_tournament_id,winner_id,loser_id,match_method,review_flag,data_quality_flag,source_candidate_count,canonical_candidate_count,round_agrees,winner_rank_points_diff,loser_rank_points_diff
2016,wta,2016_1_auckland_asb_classic_2016-01-03_R32_ostapenko_j_larsson_j,2016-1049_271,1049,211533,201596,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_1_auckland_asb_classic_2016-01-03_R32_witthoeft_c_maria_t,2016-1049_272,1049,202489,213583,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_1_auckland_asb_classic_2016-01-04_R32_kuznetsova_s_barthel_m,2016-1049_281,1049,201320,201621,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_1_auckland_asb_classic_2016-01-04_R32_hibino_n_duque_marino_m,2016-1049_284,1049,211702,201531,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_1_auckland_asb_classic_2016-01-04_R32_dulgheru_a_van_uytvanck_a,2016-1049_277,1049,201567,202421,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_1_auckland_asb_classic_2016-01-04_R32_stephens_s_hercog_p,2016-1049_273,1049,201585,201555,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_1_auckland_asb_classic_2016-01-04_R32_falconi_i_vandeweghe_c,2016-1049_278,1049,201604,201535,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_1_auckland_asb_classic_2016-01-04_R32_mchale_c_doi_m,2016-1049_275,1049,201539,201595,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_1_auckland_asb_classic_2016-01-04_R32_goerges_j_hradecka_l,2016-1049_283,1049,201504,201556,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_1_auckland_asb_classic_2016-01-04_R32_paszek_t_schiavone_f,2016-1049_280,1049,201481,201212,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_1_auckland_asb_classic_2016-01-05_R32_strycova_b_bertens_k,2016-1049_282,1049,201366,202428,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_1_auckland_asb_classic_2016-01-05_R32_flipkens_k_mattek_sands_b,2016-1049_279,1049,201465,201318,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_1_auckland_asb_classic_2016-01-05_R32_wozniacki_c_kovinic_d,2016-1049_274,1049,201496,203575,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_1_auckland_asb_classic_2016-01-05_R32_kasatkina_d_williams_v,2016-1049_285,1049,214082,200748,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_1_auckland_asb_classic_2016-01-05_R32_broady_n_ivanovic_a,2016-1049_270,1049,201648,201421,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_1_auckland_asb_classic_2016-01-05_R32_erakovic_m_putintseva_y,2016-1049_276,1049,201523,201709,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_1_auckland_asb_classic_2016-01-05_R16_stephens_s_witthoeft_c,2016-1049_287,1049,201585,202489,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_1_auckland_asb_classic_2016-01-05_R16_paszek_t_kuznetsova_s,2016-1049_291,1049,201481,201320,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_1_auckland_asb_classic_2016-01-06_R16_hibino_n_kasatkina_d,2016-1049_293,1049,211702,214082,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_1_auckland_asb_classic_2016-01-06_R16_broady_n_ostapenko_j,2016-1049_286,1049,201648,211533,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_1_auckland_asb_classic_2016-01-06_R16_flipkens_k_falconi_i,2016-1049_290,1049,201465,201604,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_1_auckland_asb_classic_2016-01-06_R16_goerges_j_strycova_b,2016-1049_292,1049,201504,201366,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_1_auckland_asb_classic_2016-01-06_R16_dulgheru_a_erakovic_m,2016-1049_289,1049,201567,201523,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_1_auckland_asb_classic_2016-01-06_R16_wozniacki_c_mchale_c,2016-1049_288,1049,201496,201539,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_1_auckland_asb_classic_2016-01-06_QF_paszek_t_flipkens_k,2016-1049_296,1049,201481,201465,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_1_auckland_asb_classic_2016-01-07_QF_goerges_j_hibino_n,2016-1049_297,1049,201504,211702,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_1_auckland_asb_classic_2016-01-07_QF_stephens_s_broady_n,2016-1049_294,1049,201585,201648,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_1_auckland_asb_classic_2016-01-07_QF_wozniacki_c_dulgheru_a,2016-1049_295,1049,201496,201567,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_1_auckland_asb_classic_2016-01-08_SF_goerges_j_paszek_t,2016-1049_299,1049,201504,201481,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_1_auckland_asb_classic_2016-01-08_SF_stephens_s_wozniacki_c,2016-1049_298,1049,201585,201496,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_1_auckland_asb_classic_2016-01-09_F_stephens_s_goerges_j,2016-1049_300,1049,201585,201504,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_2_brisbane_brisbane_international_2016-01-03_R32_lepchenko_v_schmiedlova_a,2016-M020_271,800,201478,203533,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_2_brisbane_brisbane_international_2016-01-03_R32_cibulkova_d_wickmayer_y,2016-M020_283,800,201495,201518,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_2_brisbane_brisbane_international_2016-01-03_R32_pavlyuchenkova_a_bacsinszky_t,2016-M020_277,800,201499,201490,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_2_brisbane_brisbane_international_2016-01-03_R32_cornet_a_mladenovic_k,2016-M020_276,800,201427,201540,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_2_brisbane_brisbane_international_2016-01-03_R32_petkovic_a_pereira_t,2016-M020_280,800,201492,202694,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_2_brisbane_brisbane_international_2016-01-04_R32_crawford_s_hon_p,2016-M020_279,800,202496,211880,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_2_brisbane_brisbane_international_2016-01-04_R32_vinci_r_jankovic_j,2016-M020_282,800,201311,201347,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_2_brisbane_brisbane_international_2016-01-04_R32_suarez_navarro_c_tomljanovic_a,2016-M020_273,800,201521,201548,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_2_brisbane_brisbane_international_2016-01-04_R32_brengle_m_bondarenko_k,2016-M020_275,800,201483,201435,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_2_brisbane_brisbane_international_2016-01-04_R32_bencic_b_errani_s,2016-M020_278,800,202505,201506,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_2_brisbane_brisbane_international_2016-01-04_R32_kerber_a_giorgi_c,2016-M020_274,800,201493,202429,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_2_brisbane_brisbane_international_2016-01-04_R32_stosur_s_cepelova_j,2016-M020_272,800,201325,202450,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_2_brisbane_brisbane_international_2016-01-04_R32_azarenka_v_vesnina_e,2016-M020_284,800,201458,201455,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_2_brisbane_brisbane_international_2016-01-05_R32_makarova_e_gasparyan_m,2016-M020_281,800,201505,202506,tournament_rank_unique,False,,1,1,True,0,0.0
2016,wta,2016_2_brisbane_brisbane_international_2016-01-05_R16_vinci_r_cibulkova_d,2016-M020_292,800,201311,201495,tournament_rank_unique,False,,1,1,True,0,0.0
