source,tour,year,uk_tournament_id,tournament_name,location,match_date,series,is_outdoor,surface,round,best_of,winner_name,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,winner_sets,loser_sets,winner_set_1_games,loser_set_1_games,winner_set_2_games,loser_set_2_games,winner_set_3_games,loser_set_3_games,winner_set_4_games,loser_set_4_games,winner_set_5_games,loser_set_5_games,match_status,odds_b365_winner,odds_b365_loser,odds_pinnacle_winner,odds_pinnacle_loser,odds_max_winner,odds_max_loser,odds_avg_winner,odds_avg_loser,source_event_key,source_match_key
tennis_data_uk,atp,2010,1,Brisbane International,Brisbane,2010-01-04,atp_250,True,hard,R32,3,Gasquet R.,Nieminen J.,52,88,850,568,2,1,6,3,4,6,6,4,,,,,completed,1.44,2.62,1.526,2.74,,,,,2010_1_brisbane_brisbane_international,2010_1_brisbane_brisbane_international_2010-01-04_gasquet_r_nieminen_j
tennis_data_uk,atp,2010,1,Brisbane International,Brisbane,2010-01-04,atp_250,True,hard,R32,3,Odesnik W.,Clement A.,105,63,521,667,2,0,6,4,7,6,,,,,,,completed,2.25,1.57,2.14,1.813,,,,,2010_1_brisbane_brisbane_international,2010_1_brisbane_brisbane_international_2010-01-04_odesnik_w_clement_a
tennis_data_uk,atp,2010,1,Brisbane International,Brisbane,2010-01-04,atp_250,True,hard,R32,3,Gicquel M.,Petzschner P.,58,80,744,587,2,0,6,3,6,1,,,,,,,completed,1.61,2.2,1.676,2.36,,,,,2010_1_brisbane_brisbane_international,2010_1_brisbane_brisbane_international_2010-01-04_gicquel_m_petzschner_p
tennis_data_uk,atp,2010,1,Brisbane International,Brisbane,2010-01-04,atp_250,True,hard,R32,3,Falla A.,Chardy J.,81,32,587,1102,2,0,6,4,6,4,,,,,,,completed,2.62,1.44,2.58,1.581,,,,,2010_1_brisbane_brisbane_international,2010_1_brisbane_brisbane_international_2010-01-04_falla_a_chardy_j
tennis_data_uk,atp,2010,1,Brisbane International,Brisbane,2010-01-04,atp_250,True,hard,R32,3,Levy H.,Llodra M.,119,67,461,649,2,0,6,2,6,0,,,,,,,completed,3.0,1.36,2.17,1.787,,,,,2010_1_brisbane_brisbane_international,2010_1_brisbane_brisbane_international_2010-01-04_levy_h_llodra_m
tennis_data_uk,atp,2010,1,Brisbane International,Brisbane,2010-01-04,atp_250,True,hard,R32,3,Bellucci T.,Chela J.I.,36,73,1021,611,2,1,6,3,3,6,6,1,,,,,completed,1.61,2.2,1.758,2.22,,,,,2010_1_brisbane_brisbane_international,2010_1_brisbane_brisbane_international_2010-01-04_bellucci_t_chela_j_i
tennis_data_uk,atp,2010,1,Brisbane International,Brisbane,2010-01-04,atp_250,True,hard,R32,3,Stepanek R.,Millman J.,12,306,2625,137,2,0,6,4,6,0,,,,,,,completed,1.04,10.0,1.087,9.95,,,,,2010_1_brisbane_brisbane_international,2010_1_brisbane_brisbane_international_2010-01-04_stepanek_r_millman_j
tennis_data_uk,atp,2010,1,Brisbane International,Brisbane,2010-01-04,atp_250,True,hard,R32,3,Roddick A.,Luczak P.,7,77,4410,598,2,0,7,6,6,2,,,,,,,completed,1.08,7.0,1.121,7.83,,,,,2010_1_brisbane_brisbane_international,2010_1_brisbane_brisbane_international_2010-01-04_roddick_a_luczak_p
tennis_data_uk,atp,2010,1,Brisbane International,Brisbane,2010-01-05,atp_250,True,hard,R32,3,Dolgopolov O.,Tomic B.,131,286,413,150,2,0,6,4,6,4,,,,,,,completed,1.72,2.0,1.758,2.22,,,,,2010_1_brisbane_brisbane_international,2010_1_brisbane_brisbane_international_2010-01-05_dolgopolov_o_tomic_b
tennis_data_uk,atp,2010,1,Brisbane International,Brisbane,2010-01-05,atp_250,True,hard,R32,3,Berdych T.,Lindahl N.,20,251,1655,179,2,0,6,2,6,4,,,,,,,completed,1.12,5.5,1.163,6.26,,,,,2010_1_brisbane_brisbane_international,2010_1_brisbane_brisbane_international_2010-01-05_berdych_t_lindahl_n
tennis_data_uk,atp,2010,1,Brisbane International,Brisbane,2010-01-05,atp_250,True,hard,R32,3,Baghdatis M.,Fish M.,42,55,945,790,2,0,7,5,7,5,,,,,,,completed,1.36,3.0,1.377,3.41,,,,,2010_1_brisbane_brisbane_international,2010_1_brisbane_brisbane_international_2010-01-05_baghdatis_m_fish_m
tennis_data_uk,atp,2010,1,Brisbane International,Brisbane,2010-01-05,atp_250,True,hard,R32,3,Ball C.,Zverev M.,134,78,400,590,2,0,7,5,6,1,,,,,,,completed,2.1,1.66,1.917,2.01,,,,,2010_1_brisbane_brisbane_international,2010_1_brisbane_brisbane_international_2010-01-05_ball_c_zverev_m
tennis_data_uk,atp,2010,1,Brisbane International,Brisbane,2010-01-05,atp_250,True,hard,R32,3,Blake J.,Querrey S.,44,25,935,1320,2,1,4,6,6,3,6,4,,,,,completed,1.72,2.0,1.769,2.2,,,,,2010_1_brisbane_brisbane_international,2010_1_brisbane_brisbane_international_2010-01-05_blake_j_querrey_s
tennis_data_uk,atp,2010,1,Brisbane International,Brisbane,2010-01-05,atp_250,True,hard,R32,3,Ebden M.,Melzer J.,285,28,151,1260,2,0,7,5,6,1,,,,,,,completed,5.0,1.14,5.57,1.19,,,,,2010_1_brisbane_brisbane_international,2010_1_brisbane_brisbane_international_2010-01-05_ebden_m_melzer_j
tennis_data_uk,atp,2010,1,Brisbane International,Brisbane,2010-01-05,atp_250,True,hard,R32,3,Serra F.,Reister J.,65,173,665,284,2,1,6,7,7,6,7,5,,,,,completed,1.44,2.62,1.483,2.9,,,,,2010_1_brisbane_brisbane_international,2010_1_brisbane_brisbane_international_2010-01-05_serra_f_reister_j
tennis_data_uk,atp,2010,1,Brisbane International,Brisbane,2010-01-05,atp_250,True,hard,R32,3,Monfils G.,Dent T.,13,76,2610,602,2,1,7,6,6,7,6,2,,,,,completed,1.22,4.0,1.294,4.05,,,,,2010_1_brisbane_brisbane_international,2010_1_brisbane_brisbane_international_2010-01-05_monfils_g_dent_t
tennis_data_uk,atp,2010,1,Brisbane International,Brisbane,2010-01-06,atp_250,True,hard,R16,3,Blake J.,Gicquel M.,44,58,935,744,2,1,6,3,3,6,7,6,,,,,completed,1.36,3.0,1.424,3.15,,,,,2010_1_brisbane_brisbane_international,2010_1_brisbane_brisbane_international_2010-01-06_blake_j_gicquel_m
tennis_data_uk,atp,2010,1,Brisbane International,Brisbane,2010-01-06,atp_250,True,hard,R16,3,Stepanek R.,Dolgopolov O.,12,131,2625,413,2,1,5,7,7,6,6,2,,,,,completed,1.12,5.5,1.159,6.39,,,,,2010_1_brisbane_brisbane_international,2010_1_brisbane_brisbane_international_2010-01-06_stepanek_r_dolgopolov_o
tennis_data_uk,atp,2010,1,Brisbane International,Brisbane,2010-01-06,atp_250,True,hard,R16,3,Odesnik W.,Falla A.,105,81,521,587,2,1,6,7,6,2,6,1,,,,,completed,2.25,1.57,2.4,1.658,,,,,2010_1_brisbane_brisbane_international,2010_1_brisbane_brisbane_international_2010-01-06_odesnik_w_falla_a
