source,tour,year,uk_tournament_id,tournament_name,location,match_date,series,indoor_outdoor,surface,round,best_of,winner_name,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,winner_sets,loser_sets,winner_set_1_games,loser_set_1_games,winner_set_2_games,loser_set_2_games,winner_set_3_games,loser_set_3_games,winner_set_4_games,loser_set_4_games,winner_set_5_games,loser_set_5_games,match_status,odds_b365_winner,odds_b365_loser,odds_pinnacle_winner,odds_pinnacle_loser,odds_max_winner,odds_max_loser,odds_avg_winner,odds_avg_loser,source_event_key,source_match_key
tennis_data_uk,atp,2015,1,Brisbane International,Brisbane,2015-01-05,atp_250,outdoor,hard,R128,3,Duckworth J.,Simon G.,125,21,430,1730,2,0,6,2,6,2,,,,,,,completed,4.5,1.18,4.67,1.23,4.73,1.23,4.31,1.2,2015_1_brisbane_brisbane_international,2015_1_brisbane_brisbane_international_2015-01-05_duckworth_j_simon_g
tennis_data_uk,atp,2015,1,Brisbane International,Brisbane,2015-01-05,atp_250,outdoor,hard,R128,3,Kokkinakis T.,Benneteau J.,149,25,341,1365,2,0,6,4,6,3,,,,,,,completed,2.62,1.44,2.67,1.53,2.8,1.53,2.62,1.47,2015_1_brisbane_brisbane_international,2015_1_brisbane_brisbane_international_2015-01-05_kokkinakis_t_benneteau_j
tennis_data_uk,atp,2015,1,Brisbane International,Brisbane,2015-01-05,atp_250,outdoor,hard,R128,3,Chardy J.,Golubev A.,31,72,1195,691,2,0,6,4,6,4,,,,,,,completed,1.28,3.5,1.34,3.5,1.36,3.5,1.32,3.3,2015_1_brisbane_brisbane_international,2015_1_brisbane_brisbane_international_2015-01-05_chardy_j_golubev_a
tennis_data_uk,atp,2015,1,Brisbane International,Brisbane,2015-01-05,atp_250,outdoor,hard,R128,3,Tomic B.,Querrey S.,53,35,797,1090,2,0,7,5,7,6,,,,,,,completed,1.57,2.25,1.65,2.37,1.67,2.37,1.61,2.25,2015_1_brisbane_brisbane_international,2015_1_brisbane_brisbane_international_2015-01-05_tomic_b_querrey_s
tennis_data_uk,atp,2015,1,Brisbane International,Brisbane,2015-01-06,atp_250,outdoor,hard,R128,3,Kukushkin M.,Copil M.,69,201,705,242,2,1,6,4,4,6,6,4,,,,,completed,1.53,2.37,1.48,2.84,1.58,2.84,1.5,2.53,2015_1_brisbane_brisbane_international,2015_1_brisbane_brisbane_international_2015-01-06_kukushkin_m_copil_m
tennis_data_uk,atp,2015,1,Brisbane International,Brisbane,2015-01-06,atp_250,outdoor,hard,R128,3,Kubot L.,Anderson K.,177,16,282,2080,2,0,7,6,6,4,,,,,,,completed,3.5,1.28,4.06,1.28,4.06,1.3,3.58,1.28,2015_1_brisbane_brisbane_international,2015_1_brisbane_brisbane_international_2015-01-06_kubot_l_anderson_k
tennis_data_uk,atp,2015,1,Brisbane International,Brisbane,2015-01-06,atp_250,outdoor,hard,R128,3,Johnson S.,Matosevic M.,37,77,999,657,2,1,2,6,7,6,7,5,,,,,completed,2.0,1.72,2.14,1.78,2.16,1.84,2.03,1.74,2015_1_brisbane_brisbane_international,2015_1_brisbane_brisbane_international_2015-01-06_johnson_s_matosevic_m
tennis_data_uk,atp,2015,1,Brisbane International,Brisbane,2015-01-06,atp_250,outdoor,hard,R128,3,Nieminen J.,Kudla D.,73,123,689,440,2,1,4,6,6,1,6,4,,,,,completed,1.66,2.1,1.69,2.29,1.71,2.5,1.65,2.19,2015_1_brisbane_brisbane_international,2015_1_brisbane_brisbane_international_2015-01-06_nieminen_j_kudla_d
tennis_data_uk,atp,2015,1,Brisbane International,Brisbane,2015-01-06,atp_250,outdoor,hard,R128,3,Klizan M.,Melzer J.,34,110,1094,505,2,1,6,7,7,6,6,1,,,,,completed,1.66,2.1,1.74,2.2,1.77,2.3,1.66,2.16,2015_1_brisbane_brisbane_international,2015_1_brisbane_brisbane_international_2015-01-06_klizan_m_melzer_j
tennis_data_uk,atp,2015,1,Brisbane International,Brisbane,2015-01-06,atp_250,outdoor,hard,R128,3,Millman J.,Williams R.,153,220,328,221,2,0,6,3,6,1,,,,,,,completed,1.4,2.75,1.49,2.8,1.5,2.8,1.44,2.7,2015_1_brisbane_brisbane_international,2015_1_brisbane_brisbane_international_2015-01-06_millman_j_williams_r
