source,tour,year,uk_tournament_id,tournament_name,location,match_date,series,indoor_outdoor,surface,round,best_of,winner_name,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,winner_sets,loser_sets,winner_set_1_games,loser_set_1_games,winner_set_2_games,loser_set_2_games,winner_set_3_games,loser_set_3_games,winner_set_4_games,loser_set_4_games,winner_set_5_games,loser_set_5_games,match_status,odds_b365_winner,odds_b365_loser,odds_pinnacle_winner,odds_pinnacle_loser,odds_max_winner,odds_max_loser,odds_avg_winner,odds_avg_loser,source_event_key,source_match_key
tennis_data_uk,atp,2021,1,Antalya Open,Antalya,2021-01-07,atp_250,indoor,hard,R32,3,Basilashvili N.,Arnaboldi A.,40,267,1395,206,2,1,4,6,7,5,6,1,,,,,completed,1.5,2.5,1.61,2.44,1.67,2.56,1.56,2.42,2021_1_antalya_antalya_open,2021_1_antalya_antalya_open_2021-01-07_basilashvili_n_arnaboldi_a
tennis_data_uk,atp,2021,1,Antalya Open,Antalya,2021-01-07,atp_250,indoor,hard,R32,3,Celikbilek A.,Zuk K.,309,262,150,209,2,0,7,6,7,5,,,,,,,completed,2.5,1.5,2.63,1.54,2.7,1.55,2.57,1.5,2021_1_antalya_antalya_open,2021_1_antalya_antalya_open_2021-01-07_celikbilek_a_zuk_k
tennis_data_uk,atp,2021,1,Antalya Open,Antalya,2021-01-07,atp_250,indoor,hard,R32,3,Ruusuvuori E.,Vesely J.,87,67,806,928,2,0,6,3,7,6,,,,,,,completed,1.5,2.5,1.56,2.58,1.63,3.03,1.52,2.53,2021_1_antalya_antalya_open,2021_1_antalya_antalya_open_2021-01-07_ruusuvuori_e_vesely_j
tennis_data_uk,atp,2021,1,Antalya Open,Antalya,2021-01-07,atp_250,indoor,hard,R32,3,Bublik A.,Caruso S.,49,76,1090,858,2,0,6,3,6,3,,,,,,,completed,1.61,2.2,1.81,2.09,1.87,2.3,1.72,2.11,2021_1_antalya_antalya_open,2021_1_antalya_antalya_open_2021-01-07_bublik_a_caruso_s
tennis_data_uk,atp,2021,1,Antalya Open,Antalya,2021-01-07,atp_250,indoor,hard,R32,3,Goffin D.,Herbert P.H.,16,83,2555,822,2,1,3,6,7,5,6,0,,,,,completed,1.4,2.75,1.46,2.92,1.5,3.0,1.44,2.78,2021_1_antalya_antalya_open,2021_1_antalya_antalya_open_2021-01-07_goffin_d_herbert_p_h
tennis_data_uk,atp,2021,1,Antalya Open,Antalya,2021-01-07,atp_250,indoor,hard,R32,3,Travaglia S.,Kecmanovic M.,75,42,869,1328,2,1,1,6,6,4,6,0,,,,,completed,2.62,1.44,2.8,1.49,2.85,1.5,2.71,1.45,2021_1_antalya_antalya_open,2021_1_antalya_antalya_open_2021-01-07_travaglia_s_kecmanovic_m
tennis_data_uk,atp,2021,1,Antalya Open,Antalya,2021-01-08,atp_250,indoor,hard,R32,3,Struff J.L.,Kotov P.,37,269,1450,205,2,0,6,4,6,3,,,,,,,completed,1.22,4.0,1.24,4.44,1.27,4.6,1.22,4.16,2021_1_antalya_antalya_open,2021_1_antalya_antalya_open_2021-01-08_struff_j_l_kotov_p
tennis_data_uk,atp,2021,1,Antalya Open,Antalya,2021-01-08,atp_250,indoor,hard,R32,3,Lamasine T.,Gerasimov E.,271,78,204,840,2,0,7,6,6,2,,,,,,,completed,5.0,1.16,5.74,1.17,5.74,1.22,5.12,1.16,2021_1_antalya_antalya_open,2021_1_antalya_antalya_open_2021-01-08_lamasine_t_gerasimov_e
tennis_data_uk,atp,2021,1,Antalya Open,Antalya,2021-01-08,atp_250,indoor,hard,R32,3,Andreev A.,Ilhan M.,564,571,52,51,2,0,6,4,6,3,,,,,,,completed,1.2,4.33,1.24,4.53,1.25,4.65,1.22,4.24,2021_1_antalya_antalya_open,2021_1_antalya_antalya_open_2021-01-08_andreev_a_ilhan_m
tennis_data_uk,atp,2021,1,Antalya Open,Antalya,2021-01-08,atp_250,indoor,hard,R32,3,Grenier H.,Molcan A.,250,313,220,145,2,0,7,5,6,4,,,,,,,completed,1.8,1.9,2.0,1.89,2.05,2.0,1.87,1.92,2021_1_antalya_antalya_open,2021_1_antalya_antalya_open_2021-01-08_grenier_h_molcan_a
