year,tour,source_match_key,canonical_match_key,official_tournament_id,winner_id,loser_id,match_method,review_flag,data_quality_flag,source_candidate_count,canonical_candidate_count,round_agrees,winner_rank_points_diff,loser_rank_points_diff
2022,atp,2022_1_adelaide_adelaide_international_1_2022-01-03_R32_kwon_s_w_nishioka_y,2022-8998_278,8998,126952,106415,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_1_adelaide_adelaide_international_1_2022-01-03_R32_monteiro_t_altmaier_d,2022-8998_275,8998,106329,127157,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_1_adelaide_adelaide_international_1_2022-01-03_R32_djere_l_carballes_baena_r,2022-8998_277,8998,111513,106148,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_1_adelaide_adelaide_international_1_2022-01-03_R32_johnson_s_vukic_a,2022-8998_271,8998,105449,126846,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_1_adelaide_adelaide_international_1_2022-01-04_R32_moutet_c_rune_h,2022-8998_276,8998,144895,208029,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_1_adelaide_adelaide_international_1_2022-01-04_R32_daniel_t_musetti_l,2022-8998_283,8998,106121,207518,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_1_adelaide_adelaide_international_1_2022-01-04_R32_gerasimov_e_fucsovics_m,2022-8998_273,8998,106078,105916,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_1_adelaide_adelaide_international_1_2022-01-04_R32_ymer_m_bonzi_b,2022-8998_279,8998,144707,126127,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_1_adelaide_adelaide_international_1_2022-01-04_R32_cerundolo_j_m_bolt_a,2022-8998_284,8998,207678,106109,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_1_adelaide_adelaide_international_1_2022-01-04_R32_paul_t_vesely_j,2022-8998_282,8998,126205,106210,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_1_adelaide_adelaide_international_1_2022-01-04_R32_mager_g_cerundolo_f,2022-8998_272,8998,126149,202103,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_1_adelaide_adelaide_international_1_2022-01-04_R32_kokkinakis_t_millman_j,2022-8998_280,8998,106423,105357,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_1_adelaide_adelaide_international_1_2022-01-05_R16_djere_l_moutet_c,2022-8998_289,8998,111513,144895,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_1_adelaide_adelaide_international_1_2022-01-05_R16_cilic_m_monteiro_t,2022-8998_288,8998,105227,106329,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_1_adelaide_adelaide_international_1_2022-01-05_R16_ymer_m_kwon_s_w,2022-8998_290,8998,144707,126952,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_1_adelaide_adelaide_international_1_2022-01-05_R16_kokkinakis_t_tiafoe_f,2022-8998_291,8998,106423,126207,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_1_adelaide_adelaide_international_1_2022-01-06_R16_paul_t_daniel_t,2022-8998_292,8998,126205,106121,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_1_adelaide_adelaide_international_1_2022-01-06_R16_gerasimov_e_mager_g,2022-8998_287,8998,106078,126149,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_1_adelaide_adelaide_international_1_2022-01-06_R16_khachanov_k_johnson_s,2022-8998_286,8998,111575,105449,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_1_adelaide_adelaide_international_1_2022-01-06_R16_monfils_g_cerundolo_j_m,2022-8998_293,8998,104792,207678,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_1_adelaide_adelaide_international_1_2022-01-07_QF_cilic_m_djere_l,2022-8998_295,8998,105227,111513,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_1_adelaide_adelaide_international_1_2022-01-07_QF_monfils_g_paul_t,2022-8998_297,8998,104792,126205,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_1_adelaide_adelaide_international_1_2022-01-07_QF_khachanov_k_gerasimov_e,2022-8998_294,8998,111575,106078,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_1_adelaide_adelaide_international_1_2022-01-07_QF_kokkinakis_t_ymer_m,2022-8998_296,8998,106423,144707,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_1_adelaide_adelaide_international_1_2022-01-08_SF_khachanov_k_cilic_m,2022-8998_298,8998,111575,105227,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_1_adelaide_adelaide_international_1_2022-01-08_SF_monfils_g_kokkinakis_t,2022-8998_299,8998,104792,106423,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_1_adelaide_adelaide_international_1_2022-01-09_F_monfils_g_khachanov_k,2022-8998_300,8998,104792,111575,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_2_melbourne_melbourne_summer_set_2022-01-04_R32_bagnis_f_murray_a,2022-9665_275,9665,105487,104918,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_2_melbourne_melbourne_summer_set_2022-01-04_R32_van_de_zandschulp_b_mannarino_a,2022-9665_276,9665,122298,105173,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_2_melbourne_melbourne_summer_set_2022-01-04_R32_mcdonald_m_gojowczyk_p,2022-9665_277,9665,111456,105376,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_2_melbourne_melbourne_summer_set_2022-01-04_R32_griekspoor_t_koepfer_d,2022-9665_282,9665,134868,136440,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_2_melbourne_melbourne_summer_set_2022-01-05_R32_berankis_r_giron_m,2022-9665_284,9665,105575,106218,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_2_melbourne_melbourne_summer_set_2022-01-05_R32_thompson_j_o_connell_c,2022-9665_279,9665,111442,106331,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_2_melbourne_melbourne_summer_set_2022-01-05_R32_ruusuvuori_e_baez_s,2022-9665_278,9665,200325,202104,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_2_melbourne_melbourne_summer_set_2022-01-05_R32_laaksonen_h_paire_b,2022-9665_273,9665,105967,105332,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_2_melbourne_melbourne_summer_set_2022-01-05_R32_molcan_a_seppi_a,2022-9665_280,9665,144684,104312,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_2_melbourne_melbourne_summer_set_2022-01-05_R32_popyrin_a_travaglia_s,2022-9665_283,9665,200615,105882,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_2_melbourne_melbourne_summer_set_2022-01-05_R32_cressy_m_hijikata_r,2022-9665_271,9665,202195,208014,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_2_melbourne_melbourne_summer_set_2022-01-05_R32_munar_j_anderson_k,2022-9665_272,9665,144719,104731,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_2_melbourne_melbourne_summer_set_2022-01-06_R16_ruusuvuori_e_thompson_j,2022-9665_290,9665,200325,111442,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_2_melbourne_melbourne_summer_set_2022-01-06_R16_molcan_a_goffin_d,2022-9665_291,9665,144684,105676,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_2_melbourne_melbourne_summer_set_2022-01-06_R16_dimitrov_g_bagnis_f,2022-9665_288,9665,105777,105487,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_2_melbourne_melbourne_summer_set_2022-01-06_R16_nadal_r_berankis_r,2022-9665_293,9665,104745,105575,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_2_melbourne_melbourne_summer_set_2022-01-06_R16_munar_j_laaksonen_h,2022-9665_287,9665,144719,105967,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_2_melbourne_melbourne_summer_set_2022-01-06_R16_griekspoor_t_popyrin_a,2022-9665_292,9665,134868,200615,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_2_melbourne_melbourne_summer_set_2022-01-06_R16_cressy_m_opelka_r,2022-9665_286,9665,202195,124187,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_2_melbourne_melbourne_summer_set_2022-01-06_R16_van_de_zandschulp_b_mcdonald_m,2022-9665_289,9665,122298,111456,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_2_melbourne_melbourne_summer_set_2022-01-07_QF_ruusuvuori_e_molcan_a,2022-9665_296,9665,200325,144684,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_2_melbourne_melbourne_summer_set_2022-01-07_QF_nadal_r_griekspoor_t,2022-9665_297,9665,104745,134868,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_2_melbourne_melbourne_summer_set_2022-01-07_QF_cressy_m_munar_j,2022-9665_294,9665,202195,144719,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_2_melbourne_melbourne_summer_set_2022-01-07_QF_dimitrov_g_van_de_zandschulp_b,2022-9665_295,9665,105777,122298,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_2_melbourne_melbourne_summer_set_2022-01-08_SF_cressy_m_dimitrov_g,2022-9665_298,9665,202195,105777,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_2_melbourne_melbourne_summer_set_2022-01-08_SF_nadal_r_ruusuvuori_e,2022-9665_299,9665,104745,200325,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_2_melbourne_melbourne_summer_set_2022-01-09_F_nadal_r_cressy_m,2022-9665_300,9665,104745,202195,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_3_adelaide_adelaide_international_2_2022-01-10_R32_vukic_a_bublik_a,2022-9667_273,9667,126846,122330,tournament_rank_unique,False,,1,1,True,0,0
2022,atp,2022_3_adelaide_adelaide_international_2_2022-01-10_R32_paul_t_tiafoe_f,2022-9667_277,9667,126205,126207,tournament_rank_unique,False,,1,1,True,0,0
