source,tour,year,uk_tournament_id,tournament_name,location,match_date,series,is_outdoor,surface,round,players_remaining,best_of,winner_name,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,winner_sets,loser_sets,winner_set_1_games,loser_set_1_games,winner_set_2_games,loser_set_2_games,winner_set_3_games,loser_set_3_games,winner_set_4_games,loser_set_4_games,winner_set_5_games,loser_set_5_games,match_status,odds_b365_winner,odds_b365_loser,odds_pinnacle_winner,odds_pinnacle_loser,odds_max_winner,odds_max_loser,odds_avg_winner,odds_avg_loser,source_event_key,source_match_key,canonical_match_key,official_tournament_id,canonical_tourney_id,canonical_tourney_name,canonical_round,canonical_winner_id,canonical_winner_name,canonical_loser_id,canonical_loser_name,match_method,review_flag,data_quality_flag
tennis_data_uk,atp,2012,1,Brisbane International,Brisbane,2012-01-01,atp_250,True,hard,R32,32,3,Duckworth J.,Mahut N.,275,80,171,653,2,0,6,4,6,4,,,,,,,completed,4.33,1.2,4.65,1.23,5.0,1.23,4.35,1.2,2012_1_brisbane_brisbane_international,2012_1_brisbane_brisbane_international_2012-01-01_R32_duckworth_j_mahut_n,2012-339_15,339,2012-339,Brisbane,R32,105902,James Duckworth,103917,Nicolas Mahut,tournament_rank_unique,False,
tennis_data_uk,atp,2012,1,Brisbane International,Brisbane,2012-01-01,atp_250,True,hard,R32,32,3,Dolgopolov O.,Falla A.,15,74,1925,671,2,0,7,6,6,2,,,,,,,completed,1.25,3.75,1.32,3.71,1.33,4.0,1.28,3.59,2012_1_brisbane_brisbane_international,2012_1_brisbane_brisbane_international_2012-01-01_R32_dolgopolov_o_falla_a,2012-339_12,339,2012-339,Brisbane,R32,105238,Alexandr Dolgopolov,104268,Alejandro Falla,tournament_rank_unique,False,
tennis_data_uk,atp,2012,1,Brisbane International,Brisbane,2012-01-02,atp_250,True,hard,R32,32,3,Istomin D.,Mayer F.,73,23,685,1630,1,0,7,6,2,3,,,,,,,retired,3.25,1.33,3.29,1.38,3.46,1.38,3.1,1.35,2012_1_brisbane_brisbane_international,2012_1_brisbane_brisbane_international_2012-01-02_R32_istomin_d_mayer_f,2012-339_5,339,2012-339,Brisbane,R32,104797,Denis Istomin,104252,Florian Mayer,tournament_rank_unique,False,
tennis_data_uk,atp,2012,1,Brisbane International,Brisbane,2012-01-02,atp_250,True,hard,R32,32,3,Tomic B.,Benneteau J.,42,52,970,900,2,1,6,2,4,6,7,5,,,,,completed,1.66,2.1,1.7,2.27,1.7,3.1,1.63,2.22,2012_1_brisbane_brisbane_international,2012_1_brisbane_brisbane_international_2012-01-02_R32_tomic_b_benneteau_j,2012-339_8,339,2012-339,Brisbane,R32,106071,Bernard Tomic,103898,Julien Benneteau,tournament_rank_unique,False,
tennis_data_uk,atp,2012,1,Brisbane International,Brisbane,2012-01-02,atp_250,True,hard,R32,32,3,Muller G.,Mello R.,54,85,893,630,2,1,6,7,7,6,6,3,,,,,completed,1.4,2.75,1.41,3.13,1.44,3.7,1.4,2.86,2012_1_brisbane_brisbane_international,2012_1_brisbane_brisbane_international_2012-01-02_R32_muller_g_mello_r,2012-339_2,339,2012-339,Brisbane,R32,104180,Gilles Muller,103672,Ricardo Mello,tournament_rank_unique,False,
tennis_data_uk,atp,2012,1,Brisbane International,Brisbane,2012-01-02,atp_250,True,hard,R32,32,3,Simon G.,Sweeting R.,12,72,2165,690,2,0,6,3,6,4,,,,,,,completed,1.2,4.33,1.24,4.48,1.3,4.6,1.2,4.25,2012_1_brisbane_brisbane_international,2012_1_brisbane_brisbane_international_2012-01-02_R32_simon_g_sweeting_r,2012-339_16,339,2012-339,Brisbane,R32,104468,Gilles Simon,104976,Ryan Sweeting,tournament_rank_unique,False,
tennis_data_uk,atp,2012,1,Brisbane International,Brisbane,2012-01-02,atp_250,True,hard,R32,32,3,Baghdatis M.,Harrison R.,44,79,940,658,2,0,7,6,6,4,,,,,,,completed,1.36,3.0,1.51,2.74,1.51,3.15,1.41,2.79,2012_1_brisbane_brisbane_international,2012_1_brisbane_brisbane_international_2012-01-02_R32_baghdatis_m_harrison_r,2012-339_3,339,2012-339,Brisbane,R32,104571,Marcos Baghdatis,105992,Ryan Harrison,tournament_rank_unique,False,
tennis_data_uk,atp,2012,1,Brisbane International,Brisbane,2012-01-03,atp_250,True,hard,R32,32,3,Nishikori K.,Stebe C.M.,25,81,1430,652,2,1,3,6,6,1,6,4,,,,,completed,1.22,4.0,1.26,4.29,1.34,4.3,1.25,3.8,2012_1_brisbane_brisbane_international,2012_1_brisbane_brisbane_international_2012-01-03_R32_nishikori_k_stebe_c_m,2012-339_4,339,2012-339,Brisbane,R32,105453,Kei Nishikori,105649,Cedrik Marcel Stebe,tournament_rank_unique,False,
tennis_data_uk,atp,2012,1,Brisbane International,Brisbane,2012-01-03,atp_250,True,hard,R32,32,3,Nieminen J.,Levine J.,77,164,666,308,2,0,7,6,6,2,,,,,,,completed,1.36,3.0,1.44,2.99,1.44,3.25,1.38,2.94,2012_1_brisbane_brisbane_international,2012_1_brisbane_brisbane_international_2012-01-03_R32_nieminen_j_levine_j,2012-339_10,339,2012-339,Brisbane,R32,103813,Jarkko Nieminen,105028,Jesse Levine,tournament_rank_unique,False,
tennis_data_uk,atp,2012,1,Brisbane International,Brisbane,2012-01-03,atp_250,True,hard,R32,32,3,Ito T.,Mitchell B.,122,227,474,214,2,0,6,4,6,2,,,,,,,completed,1.44,2.62,1.51,2.72,1.55,2.8,1.49,2.52,2012_1_brisbane_brisbane_international,2012_1_brisbane_brisbane_international_2012-01-03_R32_ito_t_mitchell_b,2012-339_7,339,2012-339,Brisbane,R32,105147,Tatsuma Ito,106093,Benjamin Mitchell,tournament_rank_unique,False,
