source,tour,year,uk_tournament_id,tournament_name,location,match_date,series,is_outdoor,surface,round,players_remaining,best_of,winner_name,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,winner_sets,loser_sets,winner_set_1_games,loser_set_1_games,winner_set_2_games,loser_set_2_games,winner_set_3_games,loser_set_3_games,winner_set_4_games,loser_set_4_games,winner_set_5_games,loser_set_5_games,match_status,odds_b365_winner,odds_b365_loser,odds_pinnacle_winner,odds_pinnacle_loser,odds_max_winner,odds_max_loser,odds_avg_winner,odds_avg_loser,source_event_key,source_match_key,canonical_match_key,official_tournament_id,canonical_tourney_id,canonical_tourney_name,canonical_round,canonical_winner_id,canonical_winner_name,canonical_loser_id,canonical_loser_name,match_method,review_flag,data_quality_flag
tennis_data_uk,wta,2013,1,ASB Classic,Auckland,2012-12-30,international,True,hard,R32,32,3,Parmentier P.,Mchale C.,65,33,950.0,1451.0,2,0,6,4,6,1,,,,,,,completed,2.5,1.5,2.67,1.53,2.92,1.57,2.5,1.5,2013_1_auckland_asb_classic,2013_1_auckland_asb_classic_2012-12-30_R32_parmentier_p_mchale_c,2013-W-INT-NZL-01A-2013_9,1049,2013-W-INT-NZL-01A-2013,Auckland,R32,201426,Pauline Parmentier,201539,Christina Mchale,tournament_rank_unique,False,
tennis_data_uk,wta,2013,1,ASB Classic,Auckland,2012-12-31,international,True,hard,R32,32,3,Vesnina E.,Bouchard E.,68,147,902.0,469.0,2,0,7,5,6,3,,,,,,,completed,1.53,2.37,1.54,2.63,1.6,2.68,1.53,2.44,2013_1_auckland_asb_classic,2013_1_auckland_asb_classic_2012-12-31_R32_vesnina_e_bouchard_e,2013-W-INT-NZL-01A-2013_3,1049,2013-W-INT-NZL-01A-2013,Auckland,R32,201455,Elena Vesnina,202446,Eugenie Bouchard,tournament_rank_unique,False,
tennis_data_uk,wta,2013,1,ASB Classic,Auckland,2012-12-31,international,True,hard,R32,32,3,Daniilidou E.,Vandeweghe C.,100,97,683.0,688.0,2,1,1,6,7,6,6,4,,,,,completed,1.83,1.83,1.9,1.99,1.95,2.18,1.83,1.91,2013_1_auckland_asb_classic,2013_1_auckland_asb_classic_2012-12-31_R32_daniilidou_e_vandeweghe_c,2013-W-INT-NZL-01A-2013_14,1049,2013-W-INT-NZL-01A-2013,Auckland,R32,201305,Eleni Daniilidou,201535,Coco Vandeweghe,tournament_rank_unique,False,
tennis_data_uk,wta,2013,1,ASB Classic,Auckland,2012-12-31,international,True,hard,R32,32,3,Bertens K.,Kuznetsova S.,63,71,956.0,882.0,2,1,6,7,6,2,7,5,,,,,completed,2.5,1.5,2.85,1.47,3.1,1.51,2.64,1.46,2013_1_auckland_asb_classic,2013_1_auckland_asb_classic_2012-12-31_R32_bertens_k_kuznetsova_s,2013-W-INT-NZL-01A-2013_7,1049,2013-W-INT-NZL-01A-2013,Auckland,R32,202428,Kiki Bertens,201320,Svetlana Kuznetsova,tournament_rank_unique,False,
tennis_data_uk,wta,2013,1,ASB Classic,Auckland,2012-12-31,international,True,hard,R32,32,3,Flipkens K.,Voskoboeva G.,54,82,1096.0,776.0,2,1,6,1,6,7,7,5,,,,,completed,1.4,2.75,1.53,2.67,1.53,2.9,1.44,2.71,2013_1_auckland_asb_classic,2013_1_auckland_asb_classic_2012-12-31_R32_flipkens_k_voskoboeva_g,2013-W-INT-NZL-01A-2013_10,1049,2013-W-INT-NZL-01A-2013,Auckland,R32,201465,Kirsten Flipkens,201448,Galina Voskoboeva,tournament_rank_unique,False,
tennis_data_uk,wta,2013,1,ASB Classic,Auckland,2012-12-31,international,True,hard,R32,32,3,Larsson J.,Doi M.,73,93,860.0,711.0,2,1,4,6,6,3,6,2,,,,,completed,1.57,2.25,1.71,2.24,1.72,2.28,1.66,2.16,2013_1_auckland_asb_classic,2013_1_auckland_asb_classic_2012-12-31_R32_larsson_j_doi_m,2013-W-INT-NZL-01A-2013_15,1049,2013-W-INT-NZL-01A-2013,Auckland,R32,201596,Johanna Larsson,201595,Misaki Doi,tournament_rank_unique,False,
tennis_data_uk,wta,2013,1,ASB Classic,Auckland,2012-12-31,international,True,hard,R32,32,3,Halep S.,Rus A.,47,72,1220.0,871.0,2,1,4,6,6,3,6,1,,,,,completed,1.36,3.0,1.4,3.18,1.41,3.18,1.37,2.92,2013_1_auckland_asb_classic,2013_1_auckland_asb_classic_2012-12-31_R32_halep_s_rus_a,2013-W-INT-NZL-01A-2013_2,1049,2013-W-INT-NZL-01A-2013,Auckland,R32,201594,Simona Halep,201551,Arantxa Rus,tournament_rank_unique,False,
tennis_data_uk,wta,2013,1,ASB Classic,Auckland,2012-12-31,international,True,hard,R32,32,3,Wickmayer Y.,Rybarikova M.,23,62,1680.0,1002.0,2,0,7,6,6,2,,,,,,,completed,1.53,2.37,1.67,2.33,1.67,2.5,1.55,2.38,2013_1_auckland_asb_classic,2013_1_auckland_asb_classic_2012-12-31_R32_wickmayer_y_rybarikova_m,2013-W-INT-NZL-01A-2013_12,1049,2013-W-INT-NZL-01A-2013,Auckland,R32,201518,Yanina Wickmayer,201517,Magdalena Rybarikova,tournament_rank_unique,False,
tennis_data_uk,wta,2013,1,ASB Classic,Auckland,2012-12-31,international,True,hard,R32,32,3,Hampton J.,Zheng J.,70,26,884.0,1585.0,2,0,7,5,6,1,,,,,,,completed,1.83,1.83,2.05,1.85,2.11,1.91,1.98,1.8,2013_1_auckland_asb_classic,2013_1_auckland_asb_classic_2012-12-31_R32_hampton_j_zheng_j,2013-W-INT-NZL-01A-2013_5,1049,2013-W-INT-NZL-01A-2013,Auckland,R32,201600,Jamie Hampton,201386,Jie Zheng,tournament_rank_unique,False,
tennis_data_uk,wta,2013,1,ASB Classic,Auckland,2012-12-31,international,True,hard,R32,32,3,Watson H.,Cirstea S.,49,27,1161.0,1565.0,1,0,6,3,,,,,,,,,retired,1.61,2.2,1.71,2.24,1.73,2.3,1.67,2.14,2013_1_auckland_asb_classic,2013_1_auckland_asb_classic_2012-12-31_R32_watson_h_cirstea_s,2013-W-INT-NZL-01A-2013_8,1049,2013-W-INT-NZL-01A-2013,Auckland,R32,201586,Heather Watson,201514,Sorana Cirstea,tournament_rank_unique,False,
