tour,year,uk_tournament_id,location,tournament_name,series,surface,best_of,is_outdoor,start_date,end_date,num_matches,source_event_key,num_rounds,num_awarded_matches,num_completed_matches,num_disqualified_matches,num_retired_matches,num_walkover_matches,num_players,champion,runner_up,champion_avg_rank,champion_avg_odds,location_tournament_key
atp,2000,15,Delray Beach,Citrix Tennis Championships,International,hard,3,True,2000-02-28,2000-02-28,31,2000_15_delray_beach_citrix_tennis_championships,5,0,30,0,1,0,32,Koubek S.,Calatrava A.,33.0,,delray_beach_citrix_tennis_championships
atp,2000,16,Santiago,Chevrolet Cup,International,clay,3,True,2000-02-28,2000-02-28,31,2000_16_santiago_chevrolet_cup,5,0,30,0,1,0,32,Kuerten G.,Puerta M.,6.0,,santiago_chevrolet_cup
atp,2000,17,Bogota,Colombia Open,International,clay,3,True,2000-03-06,2000-03-06,31,2000_17_bogota_colombia_open,5,0,31,0,0,0,32,Puerta M.,El Aynaoui Y.,72.0,,bogota_colombia_open
atp,2000,18,Scottsdale,Franklin Templeton Tennis Classic,International,hard,3,True,2000-03-06,2000-03-06,31,2000_18_scottsdale_franklin_templeton_tennis_classic,5,0,29,0,1,1,32,Hewitt L.,Henman T.,18.0,,scottsdale_franklin_templeton_tennis_classic
atp,2000,19,Indian Wells,Indian Wells TMS,Masters,hard,3,True,2000-03-13,2000-03-13,63,2000_19_indian_wells_indian_wells_tms,6,0,63,0,0,0,64,Corretja A.,Enqvist T.,26.0,,indian_wells_indian_wells_tms
atp,2000,20,Miami,Ericsson Open,Masters,hard,3,True,2000-03-23,2000-03-23,95,2000_20_miami_ericsson_open,7,0,93,0,1,1,96,Sampras P.,Kuerten G.,2.0,,miami_ericsson_open
atp,2000,21,Atlanta,Galleryfurniture.com Tennis Challenge,International,clay,3,True,2000-04-10,2000-04-10,31,2000_21_atlanta_galleryfurniture_com_tennis_challenge,5,0,30,0,1,0,32,Ilie A.,Stoltenberg J.,79.0,,atlanta_galleryfurniture_com_tennis_challenge
atp,2000,22,Casablanca,Grand Prix Hassan II,International,clay,3,True,2000-04-10,2000-04-10,31,2000_22_casablanca_grand_prix_hassan_ii,5,0,29,0,2,0,32,Vicente F.,Grosjean S.,45.0,,casablanca_grand_prix_hassan_ii
atp,2000,23,Estoril,Estoril Open,International,clay,3,True,2000-04-10,2000-04-10,31,2000_23_estoril_estoril_open,5,0,31,0,0,0,32,Moya C.,Clavet F.,50.0,,estoril_estoril_open
atp,2000,24,Monte Carlo,Monte Carlo Masters,Masters,clay,3,True,2000-04-17,2000-04-17,63,2000_24_monte_carlo_monte_carlo_masters,6,0,62,0,1,0,64,Pioline C.,Hrbaty D.,12.0,,monte_carlo_monte_carlo_masters
atp,2000,25,Barcelona,Open Seat Godo,International Gold,clay,3,True,2000-04-24,2000-04-24,55,2000_25_barcelona_open_seat_godo,6,0,54,0,1,0,56,Safin M.,Ferrero J.C.,35.0,,barcelona_open_seat_godo
atp,2000,26,Mallorca,Mallorca Open,International,clay,3,True,2000-05-01,2000-05-01,31,2000_26_mallorca_mallorca_open,5,0,31,0,0,0,32,Safin M.,Tillstrom M.,20.0,,mallorca_mallorca_open
atp,2000,27,Munich,BMW Open,International,clay,3,True,2000-05-01,2000-05-01,31,2000_27_munich_bmw_open,5,0,29,0,2,0,32,Squillari F.,Haas T.,52.0,,munich_bmw_open
atp,2000,28,Orlando,U.S. Clay Court Championships,International,clay,3,True,2000-05-01,2000-05-01,31,2000_28_orlando_u_s_clay_court_championships,5,0,31,0,0,0,32,Gonzalez F.,Massu N.,352.0,,orlando_u_s_clay_court_championships
atp,2000,29,Rome,Rome TMS,Masters,clay,3,True,2000-05-08,2000-05-08,63,2000_29_rome_rome_tms,6,0,62,0,0,1,64,Norman M.,Kuerten G.,4.0,,rome_rome_tms
atp,2000,30,Hamburg,Hamburg TMS,Masters,clay,3,True,2000-05-15,2000-05-15,63,2000_30_hamburg_hamburg_tms,6,0,63,0,0,0,64,Kuerten G.,Safin M.,7.0,,hamburg_hamburg_tms
atp,2000,31,St. Polten,Internationaler Raiffeisen Grand Prix,International,clay,3,True,2000-05-22,2000-05-22,31,2000_31_st_polten_internationaler_raiffeisen_grand_prix,5,0,29,0,2,0,32,Pavel A.,Ilie A.,43.0,,st_polten_internationaler_raiffeisen_grand_prix
atp,2000,32,Paris,French Open,grand_slam,clay,5,True,2000-05-29,2000-05-29,127,2000_32_paris_french_open,7,0,120,0,7,0,128,Kuerten G.,Norman M.,5.0,,paris_french_open
atp,2000,33,Halle,Gerry Weber Open,International,grass,3,True,2000-06-12,2000-06-12,31,2000_33_halle_gerry_weber_open,5,0,31,0,0,0,32,Prinosil D.,Krajicek R.,130.0,,halle_gerry_weber_open
atp,2000,34,Queens Club,Stella Artois,International,grass,3,True,2000-06-12,2000-06-12,55,2000_34_queens_club_stella_artois,6,0,52,0,3,0,56,Hewitt L.,Sampras P.,11.0,,queens_club_stella_artois
atp,2000,35,Nottingham,Nottingham Open,International,grass,3,True,2000-06-19,2000-06-19,31,2000_35_nottingham_nottingham_open,5,0,30,0,1,0,32,Grosjean S.,Black B.,32.0,,nottingham_nottingham_open
atp,2000,36,'s-Hertogenbosch,Heineken Trophy,International,grass,3,True,2000-06-19,2000-06-19,31,2000_36_s_hertogenbosch_heineken_trophy,5,0,31,0,0,0,32,Rafter P.,Escude N.,27.0,,s_hertogenbosch_heineken_trophy
atp,2000,37,London,Wimbledon,grand_slam,grass,5,True,2000-06-26,2000-06-26,127,2000_37_london_wimbledon,7,0,123,0,4,0,128,Sampras P.,Rafter P.,3.0,,london_wimbledon
