source,tour,year,uk_tournament_id,tournament_name,location,match_date,series,is_outdoor,surface,round,players_remaining,best_of,winner_name,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,winner_sets,loser_sets,winner_set_1_games,loser_set_1_games,winner_set_2_games,loser_set_2_games,winner_set_3_games,loser_set_3_games,winner_set_4_games,loser_set_4_games,winner_set_5_games,loser_set_5_games,match_status,odds_b365_winner,odds_b365_loser,odds_pinnacle_winner,odds_pinnacle_loser,odds_max_winner,odds_max_loser,odds_avg_winner,odds_avg_loser,source_event_key,source_match_key,official_tournament_id,linkage_status,unmatched_reason
tennis_data_uk,wta,2024,5,Australian Open,Melbourne,2024-01-15,grand_slam,True,hard,R128,128,3,Maria T.,Osorio M.,42,10,1215.0,3328.0,2,1,7,5,6,7,6,4,,,,,completed,2.38,1.57,2.76,1.5,2.76,1.57,2.61,1.5,2024_5_melbourne_australian_open,2024_5_melbourne_australian_open_2024-01-15_R128_maria_t_osorio_m,580,unmatched,no_name_pair_candidate
tennis_data_uk,wta,2024,9,Transylvania Open,Cluj-Napoca,2024-02-05,wta_250,False,hard,R32,32,3,Osorio M.,Tomova V.,11,64,3473.0,1017.0,2,0,6,2,6,4,,,,,,,completed,1.53,2.5,1.56,2.53,1.57,2.6,1.53,2.48,2024_9_cluj_napoca_transylvania_open,2024_9_cluj_napoca_transylvania_open_2024-02-05_R32_osorio_m_tomova_v,2050,unmatched,no_name_pair_candidate
tennis_data_uk,wta,2024,9,Transylvania Open,Cluj-Napoca,2024-02-08,wta_250,False,hard,R16,16,3,Pliskova Ka.,Osorio M.,78,11,902.0,3473.0,2,0,6,2,6,1,,,,,,,completed,1.73,2.1,1.79,2.11,1.8,2.11,1.74,2.07,2024_9_cluj_napoca_transylvania_open,2024_9_cluj_napoca_transylvania_open_2024-02-08_R16_pliskova_ka_osorio_m,2050,unmatched,no_name_pair_candidate
tennis_data_uk,wta,2024,22,Morocco Open,Rabat,2024-05-20,wta_250,True,clay,R32,32,3,Avanesyan E.,Osorio M.,69,77,956.0,895.0,1,1,6,3,4,6,0,4,,,,,retired,2.38,1.57,2.3,1.66,2.4,1.66,2.29,1.61,2024_22_rabat_morocco_open,2024_22_rabat_morocco_open_2024-05-20_R32_avanesyan_e_osorio_m,1005,unmatched,no_name_pair_candidate
tennis_data_uk,wta,2024,31,Wimbledon,London,2024-07-03,grand_slam,True,grass,R128,128,3,Osorio M.,Davis L.,14,300,3058.0,225.0,2,0,6,3,6,1,,,,,,,completed,1.62,2.3,1.58,2.53,1.63,2.57,1.58,2.4,2024_31_london_wimbledon,2024_31_london_wimbledon_2024-07-03_R128_osorio_m_davis_l,540,unmatched,no_name_pair_candidate
tennis_data_uk,wta,2024,31,Wimbledon,London,2024-07-04,grand_slam,True,grass,R64,64,3,Haddad Maia B.,Osorio M.,20,14,2218.0,3058.0,0,0,3,0,,,,,,,,,retired,1.44,2.75,1.55,2.65,1.55,2.8,1.49,2.64,2024_31_london_wimbledon,2024_31_london_wimbledon_2024-07-04_R64_haddad_maia_b_osorio_m,540,unmatched,no_name_pair_candidate
tennis_data_uk,wta,2024,35,Prague Open,Prague,2024-07-22,wta_250,True,clay,R32,32,3,Samsonova L.,Wurth T.,13,461,2950.0,122.0,2,0,6,0,6,2,,,,,,,completed,2.1,1.73,2.19,1.74,2.2,1.74,2.12,1.7,2024_35_prague_prague_open,2024_35_prague_prague_open_2024-07-22_R32_samsonova_l_wurth_t,1082,unmatched,no_name_pair_candidate
tennis_data_uk,wta,2024,35,Prague Open,Prague,2024-07-23,wta_250,True,clay,R16,16,3,Samsonova L.,Siniakova K.,13,38,2950.0,1546.0,2,1,1,6,7,5,6,3,,,,,completed,4.0,1.25,4.41,1.24,4.5,1.28,4.05,1.23,2024_35_prague_prague_open,2024_35_prague_prague_open_2024-07-23_R16_samsonova_l_siniakova_k,1082,unmatched,no_name_pair_candidate
tennis_data_uk,wta,2024,35,Prague Open,Prague,2024-07-24,wta_250,True,clay,QF,8,3,Samsonova L.,Selekhmeteva O.,13,248,2950.0,291.0,2,1,2,6,6,3,7,5,,,,,completed,3.5,1.3,3.98,1.3,3.98,1.32,3.6,1.28,2024_35_prague_prague_open,2024_35_prague_prague_open_2024-07-24_QF_samsonova_l_selekhmeteva_o,1082,unmatched,no_name_pair_candidate
tennis_data_uk,wta,2024,35,Prague Open,Prague,2024-07-25,wta_250,True,clay,SF,4,3,Frech M.,Samsonova L.,57,13,1049.0,2950.0,1,1,3,6,6,0,4,2,,,,,retired,1.33,3.4,1.38,3.34,1.38,3.73,1.33,3.26,2024_35_prague_prague_open,2024_35_prague_prague_open_2024-07-25_SF_frech_m_samsonova_l,1082,unmatched,no_name_pair_candidate
tennis_data_uk,wta,2024,42,Guadalajara Open,Guadalajara,2024-09-11,wta_500,True,hard,R16,16,3,Azarenka V.,Rakhimova K.,19,89,2326.0,812.0,0,1,2,6,0,3,,,,,,,retired,1.3,3.5,1.34,3.6,1.35,3.6,1.3,3.42,2024_42_guadalajara_guadalajara_open,2024_42_guadalajara_guadalajara_open_2024-09-11_R16_azarenka_v_rakhimova_k,2075,unmatched,no_name_pair_candidate
tennis_data_uk,wta,2024,52,Hong Kong Tennis Open,Hong Kong,2024-10-28,wta_250,True,hard,R32,32,3,Shi H.,Betova M.,245,,297.0,,2,0,6,4,6,2,,,,,,,completed,1.2,4.5,1.24,4.36,1.24,4.61,1.21,4.33,2024_52_hong_kong_hong_kong_tennis_open,2024_52_hong_kong_hong_kong_tennis_open_2024-10-28_R32_shi_h_betova_m,1074,unmatched,no_rank_candidate
tennis_data_uk,wta,2024,54,Merida Open,Merida,2024-10-29,wta_250,True,hard,R32,32,3,Ruzic A.,Samsonova L.,165,24,449.0,1885.0,2,0,6,4,6,4,,,,,,,completed,1.53,2.5,1.57,2.52,1.57,2.6,1.52,2.5,2024_54_merida_merida_open,2024_54_merida_merida_open_2024-10-29_R32_ruzic_a_samsonova_l,2085,unmatched,no_name_pair_candidate
