source,tour,year,uk_tournament_id,tournament_name,location,match_date,series,is_outdoor,surface,round,players_remaining,best_of,winner_name,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,winner_sets,loser_sets,winner_set_1_games,loser_set_1_games,winner_set_2_games,loser_set_2_games,winner_set_3_games,loser_set_3_games,winner_set_4_games,loser_set_4_games,winner_set_5_games,loser_set_5_games,match_status,odds_b365_winner,odds_b365_loser,odds_pinnacle_winner,odds_pinnacle_loser,odds_max_winner,odds_max_loser,odds_avg_winner,odds_avg_loser,source_event_key,source_match_key,official_tournament_id,linkage_status,unmatched_reason
tennis_data_uk,atp,2012,11,SAP Open,San Jose,2012-02-15,atp_250,False,hard,R32,32,3,Harrison R.,Rochus C.,94,1502,596,1,2,1,4,6,6,2,6,3,,,,,completed,1.57,2.25,1.72,2.23,1.76,2.43,1.65,2.2,2012_11_san_jose_sap_open,2012_11_san_jose_sap_open_2012-02-15_R32_harrison_r_rochus_c,424,unmatched,no_name_pair_candidate
tennis_data_uk,atp,2012,14,Open 13,Marseille,2012-02-22,atp_250,False,hard,R32,32,3,Dolgopolov O.,Rosol L.,168,79,390,656,2,1,2,6,7,6,6,3,,,,,completed,1.2,4.33,1.32,3.66,1.5,4.55,1.25,3.87,2012_14_marseille_open_13,2012_14_marseille_open_13_2012-02-22_R32_dolgopolov_o_rosol_l,496,unmatched,no_name_pair_candidate
tennis_data_uk,atp,2012,14,Open 13,Marseille,2012-02-23,atp_250,False,hard,R16,16,3,Llodra M.,Dolgopolov O.,50,168,870,390,2,1,6,4,5,7,7,6,,,,,completed,1.57,2.25,1.6,2.5,1.67,2.5,1.6,2.27,2012_14_marseille_open_13,2012_14_marseille_open_13_2012-02-23_R16_llodra_m_dolgopolov_o,496,unmatched,no_name_pair_candidate
tennis_data_uk,atp,2012,18,Dubai Tennis Championships,Dubai,2012-02-28,atp_500,True,hard,R32,32,3,Del Potro J.M.,Dolgopolov O.,10,171,2705,390,2,0,6,3,7,6,,,,,,,completed,1.25,3.75,1.27,4.1,1.33,4.19,1.27,3.63,2012_18_dubai_dubai_tennis_championships,2012_18_dubai_dubai_tennis_championships_2012-02-28_R32_del_potro_j_m_dolgopolov_o,495,unmatched,no_name_pair_candidate
tennis_data_uk,atp,2012,27,Estoril Open,Estoril,2012-05-01,atp_250,True,clay,R32,32,3,Navarro-Pastor I.,Gimeno-Traver D.,310,107,157,508,2,0,7,6,6,2,,,,,,,completed,2.5,1.5,2.55,1.57,2.63,1.57,2.44,1.53,2012_27_estoril_estoril_open,2012_27_estoril_estoril_open_2012-05-01_R32_navarro_pastor_i_gimeno_traver_d,468,unmatched,no_name_pair_candidate
tennis_data_uk,atp,2012,27,Estoril Open,Estoril,2012-05-02,atp_250,True,clay,R16,16,3,Wawrinka S.,Navarro-Pastor I.,22,310,1425,157,2,0,7,6,6,1,,,,,,,completed,1.03,15.0,1.03,17.5,1.06,19.5,1.03,11.53,2012_27_estoril_estoril_open,2012_27_estoril_estoril_open_2012-05-02_R16_wawrinka_s_navarro_pastor_i,468,unmatched,no_name_pair_candidate
tennis_data_uk,atp,2012,42,BB&T Atlanta Open,Atlanta,2012-07-16,atp_250,True,hard,R32,32,3,Sock J.,Bogomolov A.,326,51,136,830,2,1,6,2,4,6,6,4,,,,,completed,3.4,1.3,3.46,1.35,3.7,1.83,3.21,1.34,2012_42_atlanta_bb_t_atlanta_open,2012_42_atlanta_bb_t_atlanta_open_2012-07-16_R32_sock_j_bogomolov_a,6116,unmatched,no_name_pair_candidate
tennis_data_uk,atp,2012,50,Winston-Salem Open at Wake Forest University,Winston-Salem,2012-08-19,atp_250,True,hard,R64,64,3,Bogomolov A.,Jaziri M.,33,102,1123,537,2,0,6,2,6,2,,,,,,,completed,1.53,2.37,1.53,2.84,1.57,2.85,1.49,2.59,2012_50_winston_salem_winston_salem_open_at_wake_forest_university,2012_50_winston_salem_winston_salem_open_at_wake_forest_university_2012-08-19_R64_bogomolov_a_jaziri_m,6242,unmatched,no_name_pair_candidate
tennis_data_uk,atp,2012,50,Winston-Salem Open at Wake Forest University,Winston-Salem,2012-08-21,atp_250,True,hard,R32,32,3,Dolgopolov O.,Lu Y.H.,19,62,1655,760,2,0,6,1,6,3,,,,,,,completed,1.5,2.5,1.52,2.5,1.55,2.75,1.5,2.52,2012_50_winston_salem_winston_salem_open_at_wake_forest_university,2012_50_winston_salem_winston_salem_open_at_wake_forest_university_2012-08-21_R32_dolgopolov_o_lu_y_h,6242,unmatched,no_name_pair_candidate
tennis_data_uk,atp,2012,50,Winston-Salem Open at Wake Forest University,Winston-Salem,2012-08-21,atp_250,True,hard,R32,32,3,Berdych T.,Bogomolov A.,7,33,3815,1123,2,0,6,3,7,5,,,,,,,completed,1.12,6.0,1.16,6.0,1.17,6.5,1.12,5.8,2012_50_winston_salem_winston_salem_open_at_wake_forest_university,2012_50_winston_salem_winston_salem_open_at_wake_forest_university_2012-08-21_R32_berdych_t_bogomolov_a,6242,unmatched,no_name_pair_candidate
