source,tour,year,uk_tournament_id,tournament_name,location,match_date,series,is_outdoor,surface,round,players_remaining,best_of,winner_name,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,winner_sets,loser_sets,winner_set_1_games,loser_set_1_games,winner_set_2_games,loser_set_2_games,winner_set_3_games,loser_set_3_games,winner_set_4_games,loser_set_4_games,winner_set_5_games,loser_set_5_games,match_status,odds_b365_winner,odds_b365_loser,odds_pinnacle_winner,odds_pinnacle_loser,odds_max_winner,odds_max_loser,odds_avg_winner,odds_avg_loser,source_event_key,source_match_key
tennis_data_uk,atp,2006,1,Next Generation Adelaide International,Adelaide,2006-01-02,International,True,hard,R32,32,3,Berdych T.,Calleri A.,24,51,1200,692,2,1,6,4,6,7,6,4,,,,,completed,1.39,2.75,1.446,3.04,,,,,2006_1_adelaide_next_generation_adelaide_international,2006_1_adelaide_next_generation_adelaide_international_2006-01-02_R32_berdych_t_calleri_a
tennis_data_uk,atp,2006,1,Next Generation Adelaide International,Adelaide,2006-01-02,International,True,hard,R32,32,3,Kohlschreiber P.,Guccione C.,86,156,470,265,2,0,6,4,6,3,,,,,,,completed,1.53,2.37,1.719,2.29,,,,,2006_1_adelaide_next_generation_adelaide_international,2006_1_adelaide_next_generation_adelaide_international_2006-01-02_R32_kohlschreiber_p_guccione_c
tennis_data_uk,atp,2006,1,Next Generation Adelaide International,Adelaide,2006-01-02,International,True,hard,R32,32,3,Malisse X.,Luczak P.,47,146,731,286,2,0,7,6,6,3,,,,,,,completed,1.28,3.25,1.391,3.36,,,,,2006_1_adelaide_next_generation_adelaide_international,2006_1_adelaide_next_generation_adelaide_international_2006-01-02_R32_malisse_x_luczak_p
tennis_data_uk,atp,2006,1,Next Generation Adelaide International,Adelaide,2006-01-02,International,True,hard,R32,32,3,Robredo T.,Melzer J.,19,52,1490,690,2,0,7,5,6,4,,,,,,,completed,1.53,2.37,1.606,2.55,,,,,2006_1_adelaide_next_generation_adelaide_international,2006_1_adelaide_next_generation_adelaide_international_2006-01-02_R32_robredo_t_melzer_j
tennis_data_uk,atp,2006,1,Next Generation Adelaide International,Adelaide,2006-01-02,International,True,hard,R32,32,3,Ancic M.,Clement A.,21,69,1360,558,2,0,6,0,6,2,,,,,,,completed,1.44,2.62,1.549,2.72,,,,,2006_1_adelaide_next_generation_adelaide_international,2006_1_adelaide_next_generation_adelaide_international_2006-01-02_R32_ancic_m_clement_a
tennis_data_uk,atp,2006,1,Next Generation Adelaide International,Adelaide,2006-01-03,International,True,hard,R32,32,3,Mayer F.,Monaco J.,72,85,519,477,2,0,6,2,6,4,,,,,,,completed,1.5,2.5,1.606,2.55,,,,,2006_1_adelaide_next_generation_adelaide_international,2006_1_adelaide_next_generation_adelaide_international_2006-01-03_R32_mayer_f_monaco_j
tennis_data_uk,atp,2006,1,Next Generation Adelaide International,Adelaide,2006-01-03,International,True,hard,R32,32,3,Seppi A.,Pashanski B.,68,82,562,498,2,0,6,4,6,4,,,,,,,completed,1.4,2.75,1.524,2.77,,,,,2006_1_adelaide_next_generation_adelaide_international,2006_1_adelaide_next_generation_adelaide_international_2006-01-03_R32_seppi_a_pashanski_b
tennis_data_uk,atp,2006,1,Next Generation Adelaide International,Adelaide,2006-01-03,International,True,hard,R32,32,3,Philippoussis M.,Spadea V.,172,75,228,515,2,1,6,4,3,6,6,4,,,,,completed,1.83,1.83,1.877,2.04,,,,,2006_1_adelaide_next_generation_adelaide_international,2006_1_adelaide_next_generation_adelaide_international_2006-01-03_R32_philippoussis_m_spadea_v
tennis_data_uk,atp,2006,1,Next Generation Adelaide International,Adelaide,2006-01-03,International,True,hard,R32,32,3,Karlovic I.,Chela J.I.,70,39,550,815,2,1,6,3,3,6,6,1,,,,,completed,1.9,1.8,2.21,1.763,,,,,2006_1_adelaide_next_generation_adelaide_international,2006_1_adelaide_next_generation_adelaide_international_2006-01-03_R32_karlovic_i_chela_j_i
tennis_data_uk,atp,2006,1,Next Generation Adelaide International,Adelaide,2006-01-03,International,True,hard,R32,32,3,Blake J.,Martin A.,23,50,1230,711,2,0,6,3,6,3,,,,,,,completed,1.12,5.5,1.163,6.55,,,,,2006_1_adelaide_next_generation_adelaide_international,2006_1_adelaide_next_generation_adelaide_international_2006-01-03_R32_blake_j_martin_a
tennis_data_uk,atp,2006,1,Next Generation Adelaide International,Adelaide,2006-01-03,International,True,hard,R32,32,3,Nieminen J.,Mathieu P.H.,28,46,1045,738,2,0,6,2,7,6,,,,,,,completed,1.66,2.1,1.763,2.21,,,,,2006_1_adelaide_next_generation_adelaide_international,2006_1_adelaide_next_generation_adelaide_international_2006-01-03_R32_nieminen_j_mathieu_p_h
tennis_data_uk,atp,2006,1,Next Generation Adelaide International,Adelaide,2006-01-03,International,True,hard,R32,32,3,Serra F.,Llodra M.,49,137,712,303,0,1,3,6,3,1,,,,,,,retired,2.2,1.61,2.3,1.714,,,,,2006_1_adelaide_next_generation_adelaide_international,2006_1_adelaide_next_generation_adelaide_international_2006-01-03_R32_serra_f_llodra_m
tennis_data_uk,atp,2006,1,Next Generation Adelaide International,Adelaide,2006-01-03,International,True,hard,R32,32,3,Murray A.,Lorenzi P.,64,252,571,138,2,1,3,6,6,0,6,2,,,,,completed,1.08,6.5,1.111,8.75,,,,,2006_1_adelaide_next_generation_adelaide_international,2006_1_adelaide_next_generation_adelaide_international_2006-01-03_R32_murray_a_lorenzi_p
tennis_data_uk,atp,2006,1,Next Generation Adelaide International,Adelaide,2006-01-03,International,True,hard,R32,32,3,Carlsen K.,Carraz G.,66,167,565,233,2,1,5,7,7,5,6,3,,,,,completed,2.0,1.72,2.21,1.763,,,,,2006_1_adelaide_next_generation_adelaide_international,2006_1_adelaide_next_generation_adelaide_international_2006-01-03_R32_carlsen_k_carraz_g
tennis_data_uk,atp,2006,1,Next Generation Adelaide International,Adelaide,2006-01-03,International,True,hard,R32,32,3,Hewitt L.,Hernych J.,4,74,2490,515,2,1,4,6,6,2,6,4,,,,,completed,1.08,6.5,1.1,9.0,,,,,2006_1_adelaide_next_generation_adelaide_international,2006_1_adelaide_next_generation_adelaide_international_2006-01-03_R32_hewitt_l_hernych_j
tennis_data_uk,atp,2006,1,Next Generation Adelaide International,Adelaide,2006-01-03,International,True,hard,R32,32,3,Hrbaty D.,Junaid R.,18,413,1490,67,2,0,6,3,7,5,,,,,,,completed,1.05,8.0,1.083,10.98,,,,,2006_1_adelaide_next_generation_adelaide_international,2006_1_adelaide_next_generation_adelaide_international_2006-01-03_R32_hrbaty_d_junaid_r
tennis_data_uk,atp,2006,1,Next Generation Adelaide International,Adelaide,2006-01-04,International,True,hard,R16,16,3,Serra F.,Robredo T.,49,19,712,1490,2,1,7,6,3,6,6,3,,,,,completed,3.5,1.28,4.14,1.291,,,,,2006_1_adelaide_next_generation_adelaide_international,2006_1_adelaide_next_generation_adelaide_international_2006-01-04_R16_serra_f_robredo_t
tennis_data_uk,atp,2006,1,Next Generation Adelaide International,Adelaide,2006-01-04,International,True,hard,R16,16,3,Malisse X.,Ancic M.,47,21,731,1360,2,1,3,6,6,3,7,6,,,,,completed,2.37,1.53,2.73,1.546,,,,,2006_1_adelaide_next_generation_adelaide_international,2006_1_adelaide_next_generation_adelaide_international_2006-01-04_R16_malisse_x_ancic_m
tennis_data_uk,atp,2006,1,Next Generation Adelaide International,Adelaide,2006-01-04,International,True,hard,R16,16,3,Nieminen J.,Mayer F.,28,72,1045,519,2,0,7,6,7,5,,,,,,,completed,1.5,2.5,1.585,2.61,,,,,2006_1_adelaide_next_generation_adelaide_international,2006_1_adelaide_next_generation_adelaide_international_2006-01-04_R16_nieminen_j_mayer_f
tennis_data_uk,atp,2006,1,Next Generation Adelaide International,Adelaide,2006-01-04,International,True,hard,R16,16,3,Seppi A.,Blake J.,68,23,562,1230,2,1,3,6,6,3,6,4,,,,,completed,6.0,1.11,8.0,1.129,,,,,2006_1_adelaide_next_generation_adelaide_international,2006_1_adelaide_next_generation_adelaide_international_2006-01-04_R16_seppi_a_blake_j
tennis_data_uk,atp,2006,1,Next Generation Adelaide International,Adelaide,2006-01-05,International,True,hard,R16,16,3,Berdych T.,Murray A.,24,64,1200,571,2,1,7,6,4,6,6,1,,,,,completed,1.72,2.0,1.68,2.37,,,,,2006_1_adelaide_next_generation_adelaide_international,2006_1_adelaide_next_generation_adelaide_international_2006-01-05_R16_berdych_t_murray_a
tennis_data_uk,atp,2006,1,Next Generation Adelaide International,Adelaide,2006-01-05,International,True,hard,R16,16,3,Hrbaty D.,Philippoussis M.,18,172,1490,228,2,1,3,6,6,4,6,1,,,,,completed,1.36,3.0,1.412,3.23,,,,,2006_1_adelaide_next_generation_adelaide_international,2006_1_adelaide_next_generation_adelaide_international_2006-01-05_R16_hrbaty_d_philippoussis_m
tennis_data_uk,atp,2006,1,Next Generation Adelaide International,Adelaide,2006-01-05,International,True,hard,R16,16,3,Carlsen K.,Karlovic I.,66,70,565,550,2,1,2,6,7,6,6,4,,,,,completed,2.5,1.5,2.89,1.478,,,,,2006_1_adelaide_next_generation_adelaide_international,2006_1_adelaide_next_generation_adelaide_international_2006-01-05_R16_carlsen_k_karlovic_i
tennis_data_uk,atp,2006,1,Next Generation Adelaide International,Adelaide,2006-01-05,International,True,hard,R16,16,3,Kohlschreiber P.,Hewitt L.,86,4,470,2490,2,1,6,3,0,6,7,5,,,,,completed,7.0,1.08,11.0,1.083,,,,,2006_1_adelaide_next_generation_adelaide_international,2006_1_adelaide_next_generation_adelaide_international_2006-01-05_R16_kohlschreiber_p_hewitt_l
tennis_data_uk,atp,2006,1,Next Generation Adelaide International,Adelaide,2006-01-06,International,True,hard,QF,8,3,Serra F.,Nieminen J.,49,28,712,1045,2,1,6,4,6,7,6,2,,,,,completed,2.75,1.39,2.94,1.467,,,,,2006_1_adelaide_next_generation_adelaide_international,2006_1_adelaide_next_generation_adelaide_international_2006-01-06_QF_serra_f_nieminen_j
tennis_data_uk,atp,2006,1,Next Generation Adelaide International,Adelaide,2006-01-06,International,True,hard,QF,8,3,Hrbaty D.,Carlsen K.,18,66,1490,565,2,0,7,5,6,3,,,,,,,completed,1.3,3.39,1.368,3.52,,,,,2006_1_adelaide_next_generation_adelaide_international,2006_1_adelaide_next_generation_adelaide_international_2006-01-06_QF_hrbaty_d_carlsen_k
tennis_data_uk,atp,2006,1,Next Generation Adelaide International,Adelaide,2006-01-06,International,True,hard,QF,8,3,Malisse X.,Seppi A.,47,68,731,562,2,0,6,0,6,1,,,,,,,completed,1.44,2.62,1.565,2.67,,,,,2006_1_adelaide_next_generation_adelaide_international,2006_1_adelaide_next_generation_adelaide_international_2006-01-06_QF_malisse_x_seppi_a
tennis_data_uk,atp,2006,1,Next Generation Adelaide International,Adelaide,2006-01-06,International,True,hard,QF,8,3,Berdych T.,Kohlschreiber P.,24,86,1200,470,2,0,6,1,6,4,,,,,,,completed,1.22,4.0,1.284,4.22,,,,,2006_1_adelaide_next_generation_adelaide_international,2006_1_adelaide_next_generation_adelaide_international_2006-01-06_QF_berdych_t_kohlschreiber_p
tennis_data_uk,atp,2006,1,Next Generation Adelaide International,Adelaide,2006-01-07,International,True,hard,SF,4,3,Serra F.,Hrbaty D.,49,18,712,1490,2,0,6,3,6,3,,,,,,,completed,3.39,1.3,3.45,1.377,,,,,2006_1_adelaide_next_generation_adelaide_international,2006_1_adelaide_next_generation_adelaide_international_2006-01-07_SF_serra_f_hrbaty_d
tennis_data_uk,atp,2006,1,Next Generation Adelaide International,Adelaide,2006-01-07,International,True,hard,SF,4,3,Malisse X.,Berdych T.,47,24,731,1200,2,0,6,4,6,0,,,,,,,completed,2.5,1.5,2.75,1.541,,,,,2006_1_adelaide_next_generation_adelaide_international,2006_1_adelaide_next_generation_adelaide_international_2006-01-07_SF_malisse_x_berdych_t
tennis_data_uk,atp,2006,1,Next Generation Adelaide International,Adelaide,2006-01-08,International,True,hard,F,2,3,Serra F.,Malisse X.,49,47,712,731,2,0,6,3,6,4,,,,,,,completed,2.75,1.39,2.81,1.498,,,,,2006_1_adelaide_next_generation_adelaide_international,2006_1_adelaide_next_generation_adelaide_international_2006-01-08_F_serra_f_malisse_x
tennis_data_uk,atp,2006,2,Chennai Open,Chennai,2006-01-02,International,True,hard,R32,32,3,Amritraj P.,Mello R.,267,111,127,398,2,1,2,6,6,2,6,3,,,,,completed,3.0,1.33,3.11,1.433,,,,,2006_2_chennai_chennai_open,2006_2_chennai_chennai_open_2006-01-02_R32_amritraj_p_mello_r
