source,tour,year,uk_tournament_id,tournament_name,location,match_date,series,is_outdoor,surface,round,players_remaining,best_of,winner_name,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,winner_sets,loser_sets,winner_set_1_games,loser_set_1_games,winner_set_2_games,loser_set_2_games,winner_set_3_games,loser_set_3_games,winner_set_4_games,loser_set_4_games,winner_set_5_games,loser_set_5_games,match_status,odds_b365_winner,odds_b365_loser,odds_pinnacle_winner,odds_pinnacle_loser,odds_max_winner,odds_max_loser,odds_avg_winner,odds_avg_loser,source_event_key,source_match_key,canonical_match_key,official_tournament_id,canonical_tourney_id,canonical_tourney_name,canonical_round,canonical_winner_id,canonical_winner_name,canonical_loser_id,canonical_loser_name,match_method,review_flag,data_quality_flag
tennis_data_uk,wta,2025,1,ASB Classic,Auckland,2024-12-29,wta_250,True,hard,R32,32,3,Hibino N.,Niemeier J.,145,89,496.0,816.0,2,0,6,3,6,4,,,,,,,completed,1.91,1.91,1.86,2.01,1.91,2.01,1.84,1.95,2025_1_auckland_asb_classic,2025_1_auckland_asb_classic_2024-12-29_R32_hibino_n_niemeier_j,2025-1049_279,1049,2025-1049,Auckland,R32,211702,Nao Hibino,215898,Jule Niemeier,tournament_rank_unique,False,
tennis_data_uk,wta,2025,1,ASB Classic,Auckland,2024-12-29,wta_250,True,hard,R32,32,3,Tauson C.,Stefanini L.,50,146,1070.0,494.0,2,0,6,2,6,3,,,,,,,completed,1.5,2.63,1.52,2.67,1.53,2.67,1.5,2.56,2025_1_auckland_asb_classic,2025_1_auckland_asb_classic_2024-12-29_R32_tauson_c_stefanini_l,2025-1049_282,1049,2025-1049,Auckland,R32,220704,Clara Tauson,214593,Lucrezia Stefanini,tournament_rank_unique,False,
tennis_data_uk,wta,2025,1,ASB Classic,Auckland,2024-12-30,wta_250,True,hard,R32,32,3,Marino R.,Sun L.,102,40,756.0,1300.0,2,1,6,3,3,6,6,3,,,,,completed,1.91,1.91,2.04,1.84,2.04,1.91,1.94,1.84,2025_1_auckland_asb_classic,2025_1_auckland_asb_classic_2024-12-30_R32_marino_r_sun_l,2025-1049_281,1049,2025-1049,Auckland,R32,201606,Rebecca Marino,215138,Lulu Sun,tournament_rank_unique,False,
tennis_data_uk,wta,2025,1,ASB Classic,Auckland,2024-12-30,wta_250,True,hard,R32,32,3,Pera B.,Jimenez Kasintseva V.,71,156,896.0,465.0,2,0,6,2,7,5,,,,,,,completed,1.57,2.38,1.63,2.39,1.63,2.44,1.59,2.32,2025_1_auckland_asb_classic,2025_1_auckland_asb_classic_2024-12-30_R32_pera_b_jimenez_kasintseva_v,2025-1049_280,1049,2025-1049,Auckland,R32,211095,Bernarda Pera,223286,Victoria Jimenez Kasintseva,tournament_rank_unique,False,
tennis_data_uk,wta,2025,1,ASB Classic,Auckland,2024-12-30,wta_250,True,hard,R32,32,3,Osaka N.,Glushko L.,57,220,1014.0,323.0,2,0,6,4,6,4,,,,,,,completed,1.06,10.0,1.08,9.69,1.08,13.0,1.06,8.96,2025_1_auckland_asb_classic,2025_1_auckland_asb_classic_2024-12-30_R32_osaka_n_glushko_l,2025-1049_273,1049,2025-1049,Auckland,R32,211768,Naomi Osaka,215151,Lina Glushko,tournament_rank_unique,False,
tennis_data_uk,wta,2025,1,ASB Classic,Auckland,2024-12-30,wta_250,True,hard,R32,32,3,Grabher J.,Romero Gormaz L.,470,158,112.0,459.0,2,1,2,6,6,3,7,6,,,,,completed,2.5,1.53,2.63,1.53,2.63,1.54,2.5,1.51,2025_1_auckland_asb_classic,2025_1_auckland_asb_classic_2024-12-30_R32_grabher_j_romero_gormaz_l,2025-1049_272,1049,2025-1049,Auckland,R32,211814,Julia Grabher,220742,Leyre Romero Gormaz,tournament_rank_unique,False,
tennis_data_uk,wta,2025,1,ASB Classic,Auckland,2024-12-30,wta_250,True,hard,R32,32,3,Li A.,Stephens S.,96,74,787.0,882.0,2,1,5,7,6,4,6,4,,,,,completed,1.67,2.2,1.59,2.47,1.68,2.47,1.61,2.29,2025_1_auckland_asb_classic,2025_1_auckland_asb_classic_2024-12-30_R32_li_a_stephens_s,2025-1049_276,1049,2025-1049,Auckland,R32,215983,Ann Li,201585,Sloane Stephens,tournament_rank_unique,False,
tennis_data_uk,wta,2025,1,ASB Classic,Auckland,2024-12-30,wta_250,True,hard,R32,32,3,Volynets K.,Andreeva E.,58,83,991.0,838.0,2,1,6,4,6,7,6,2,,,,,completed,2.1,1.73,2.03,1.85,2.1,1.91,1.99,1.8,2025_1_auckland_asb_classic,2025_1_auckland_asb_classic_2024-12-30_R32_volynets_k_andreeva_e,2025-1049_277,1049,2025-1049,Auckland,R32,220465,Katie Volynets,222965,Erika Andreeva,tournament_rank_unique,False,
tennis_data_uk,wta,2025,1,ASB Classic,Auckland,2024-12-30,wta_250,True,hard,R32,32,3,Cristian J.,Starodubtseva Y.,85,101,832.0,762.0,1,0,6,3,2,0,,,,,,,retired,2.3,1.62,2.32,1.66,2.33,1.73,2.26,1.62,2025_1_auckland_asb_classic,2025_1_auckland_asb_classic_2024-12-30_R32_cristian_j_starodubtseva_y,2025-1049_284,1049,2025-1049,Auckland,R32,211713,Jaqueline Cristian,263857,Yuliia Starodubtseva,tournament_rank_unique,False,
tennis_data_uk,wta,2025,1,ASB Classic,Auckland,2024-12-30,wta_250,True,hard,R32,32,3,Kenin S.,Wang Xiy.,81,98,848.0,774.0,2,0,7,6,6,1,,,,,,,completed,1.8,2.0,1.84,2.04,2.0,2.12,1.85,1.93,2025_1_auckland_asb_classic,2025_1_auckland_asb_classic_2024-12-30_R32_kenin_s_wang_xiy,2025-1049_283,1049,2025-1049,Auckland,R32,213550,Sofia Kenin,216016,Xiyu Wang,tournament_rank_unique,False,
