source,tour,year,uk_tournament_id,tournament_name,location,match_date,series,is_outdoor,surface,round,players_remaining,best_of,winner_name,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,winner_sets,loser_sets,winner_set_1_games,loser_set_1_games,winner_set_2_games,loser_set_2_games,winner_set_3_games,loser_set_3_games,winner_set_4_games,loser_set_4_games,winner_set_5_games,loser_set_5_games,match_status,odds_b365_winner,odds_b365_loser,odds_pinnacle_winner,odds_pinnacle_loser,odds_max_winner,odds_max_loser,odds_avg_winner,odds_avg_loser,source_event_key,source_match_key,canonical_match_key,official_tournament_id,canonical_tourney_id,canonical_tourney_name,canonical_round,canonical_winner_id,canonical_winner_name,canonical_loser_id,canonical_loser_name,match_method,review_flag,data_quality_flag
tennis_data_uk,atp,2013,1,Brisbane International,Brisbane,2012-12-31,atp_250,True,hard,R32,32,3,Mayer F.,Giraldo S.,28,57,1215,778,2,0,6,4,6,4,,,,,,,completed,1.36,3.0,1.47,2.85,1.47,3.2,1.42,2.78,2013_1_brisbane_brisbane_international,2013_1_brisbane_brisbane_international_2012-12-31_R32_mayer_f_giraldo_s,2013-339_7,339,2013-339,Brisbane,R32,104252,Florian Mayer,105053,Santiago Giraldo,tournament_rank_unique,False,
tennis_data_uk,atp,2013,1,Brisbane International,Brisbane,2012-12-31,atp_250,True,hard,R32,32,3,Nieminen J.,Benneteau J.,41,35,927,1075,2,1,6,3,2,6,6,1,,,,,completed,1.61,2.2,1.8,2.1,1.8,2.26,1.73,2.05,2013_1_brisbane_brisbane_international,2013_1_brisbane_brisbane_international_2012-12-31_R32_nieminen_j_benneteau_j,2013-339_4,339,2013-339,Brisbane,R32,103813,Jarkko Nieminen,103898,Julien Benneteau,tournament_rank_unique,False,
tennis_data_uk,atp,2013,1,Brisbane International,Brisbane,2012-12-31,atp_250,True,hard,R32,32,3,Nishikori K.,Matosevic M.,19,49,1830,845,2,0,7,5,6,2,,,,,,,completed,1.25,3.75,1.3,3.85,1.3,4.2,1.28,3.58,2013_1_brisbane_brisbane_international,2013_1_brisbane_brisbane_international_2012-12-31_R32_nishikori_k_matosevic_m,2013-339_6,339,2013-339,Brisbane,R32,105453,Kei Nishikori,104594,Marinko Matosevic,tournament_rank_unique,False,
tennis_data_uk,atp,2013,1,Brisbane International,Brisbane,2012-12-31,atp_250,True,hard,R32,32,3,Baghdatis M.,Mitchell B.,36,326,1070,137,2,0,6,4,6,4,,,,,,,completed,1.07,9.0,1.08,9.43,1.1,9.5,1.08,7.76,2013_1_brisbane_brisbane_international,2013_1_brisbane_brisbane_international_2012-12-31_R32_baghdatis_m_mitchell_b,2013-339_8,339,2013-339,Brisbane,R32,104571,Marcos Baghdatis,106093,Benjamin Mitchell,tournament_round_name_pair,False,rank_mismatch
tennis_data_uk,atp,2013,1,Brisbane International,Brisbane,2013-01-01,atp_250,True,hard,R32,32,3,Istomin D.,Klizan M.,43,30,897,1175,2,0,6,1,6,2,,,,,,,completed,1.9,1.8,1.88,2.0,2.05,2.0,1.88,1.85,2013_1_brisbane_brisbane_international,2013_1_brisbane_brisbane_international_2013-01-01_R32_istomin_d_klizan_m,2013-339_3,339,2013-339,Brisbane,R32,104797,Denis Istomin,105373,Martin Klizan,tournament_rank_unique,False,
tennis_data_uk,atp,2013,1,Brisbane International,Brisbane,2013-01-01,atp_250,True,hard,R32,32,3,Millman J.,Ito T.,199,79,239,655,2,0,6,4,6,1,,,,,,,completed,1.61,2.2,1.7,2.27,1.85,2.28,1.71,2.08,2013_1_brisbane_brisbane_international,2013_1_brisbane_brisbane_international_2013-01-01_R32_millman_j_ito_t,2013-339_1,339,2013-339,Brisbane,R32,105357,John Millman,105147,Tatsuma Ito,tournament_rank_unique,False,
tennis_data_uk,atp,2013,1,Brisbane International,Brisbane,2013-01-01,atp_250,True,hard,R32,32,3,Falla A.,Levine J.,54,104,809,530,2,0,6,1,7,6,,,,,,,completed,2.2,1.61,2.26,1.7,2.32,1.83,2.08,1.7,2013_1_brisbane_brisbane_international,2013_1_brisbane_brisbane_international_2013-01-01_R32_falla_a_levine_j,2013-339_9,339,2013-339,Brisbane,R32,104268,Alejandro Falla,105028,Jesse Levine,tournament_rank_unique,False,
tennis_data_uk,atp,2013,1,Brisbane International,Brisbane,2013-01-01,atp_250,True,hard,R32,32,3,Melzer J.,Kudla D.,29,137,1177,402,2,1,2,6,6,4,6,4,,,,,completed,1.44,2.62,1.6,2.47,1.63,2.82,1.52,2.46,2013_1_brisbane_brisbane_international,2013_1_brisbane_brisbane_international_2013-01-01_R32_melzer_j_kudla_d,2013-339_10,339,2013-339,Brisbane,R32,103781,Jurgen Melzer,106045,Denis Kudla,tournament_rank_unique,False,
tennis_data_uk,atp,2013,1,Brisbane International,Brisbane,2013-01-01,atp_250,True,hard,R32,32,3,Robredo T.,Harrison R.,114,69,495,710,2,0,6,4,7,6,,,,,,,completed,3.0,1.36,2.93,1.45,3.25,1.53,2.66,1.47,2013_1_brisbane_brisbane_international,2013_1_brisbane_brisbane_international_2013-01-01_R32_robredo_t_harrison_r,2013-339_5,339,2013-339,Brisbane,R32,103990,Tommy Robredo,105992,Ryan Harrison,tournament_rank_unique,False,
tennis_data_uk,atp,2013,1,Brisbane International,Brisbane,2013-01-01,atp_250,True,hard,R32,32,3,Dimitrov G.,Baker B.,48,61,866,756,2,0,6,3,7,6,,,,,,,completed,1.36,3.0,1.38,3.3,1.45,3.55,1.39,2.87,2013_1_brisbane_brisbane_international,2013_1_brisbane_brisbane_international_2013-01-01_R32_dimitrov_g_baker_b,2013-339_12,339,2013-339,Brisbane,R32,105777,Grigor Dimitrov,104548,Brian Baker,tournament_rank_unique,False,
