source,tour,year,uk_tournament_id,tournament_name,location,match_date,series,is_outdoor,surface,round,players_remaining,best_of,winner_name,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,winner_sets,loser_sets,winner_set_1_games,loser_set_1_games,winner_set_2_games,loser_set_2_games,winner_set_3_games,loser_set_3_games,winner_set_4_games,loser_set_4_games,winner_set_5_games,loser_set_5_games,match_status,odds_b365_winner,odds_b365_loser,odds_pinnacle_winner,odds_pinnacle_loser,odds_max_winner,odds_max_loser,odds_avg_winner,odds_avg_loser,source_event_key,source_match_key,official_tournament_id,linkage_status,unmatched_reason
tennis_data_uk,wta,2022,8,Dubai Duty Free Tennis Championships,Dubai,2022-02-15,wta_500,True,hard,R32,32,3,Collins D.,Vondrousova M.,11,38,2971.0,1337.0,1,0,6,2,0,3,,,,,,,retired,1.53,2.5,1.56,2.56,1.65,2.58,1.56,2.42,2022_8_dubai_dubai_duty_free_tennis_championships,2022_8_dubai_dubai_duty_free_tennis_championships_2022-02-15_R32_collins_d_vondrousova_m,718,unmatched,no_name_pair_candidate
tennis_data_uk,wta,2022,8,Dubai Duty Free Tennis Championships,Dubai,2022-02-18,wta_500,True,hard,SF,4,3,Vondrousova M.,Kudermetova V.,38,31,1337.0,1655.0,,,,,,,,,,,,,retired,1.57,2.37,1.64,2.41,1.67,2.45,1.6,2.34,2022_8_dubai_dubai_duty_free_tennis_championships,2022_8_dubai_dubai_duty_free_tennis_championships_2022-02-18_SF_vondrousova_m_kudermetova_v,718,unmatched,no_name_pair_candidate
tennis_data_uk,wta,2022,30,Wimbledon,London,2022-06-27,grand_slam,True,grass,R128,128,3,Mertens E.,Osorio M.,31,17,1615.0,2431.0,1,1,1,6,6,2,4,2,,,,,retired,1.2,4.5,1.23,4.59,1.24,5.0,1.21,4.45,2022_30_london_wimbledon,2022_30_london_wimbledon_2022-06-27_R128_mertens_e_osorio_m,540,unmatched,no_name_pair_candidate
tennis_data_uk,wta,2022,38,Citi Open,Washington,2022-08-02,wta_250,True,hard,R32,32,3,Osorio M.,Kenin S.,17,416,2302.0,123.0,2,0,7,6,6,1,,,,,,,completed,2.0,1.8,1.93,1.95,2.05,1.95,1.92,1.85,2022_38_washington_citi_open,2022_38_washington_citi_open_2022-08-02_R32_osorio_m_kenin_s,1045,unmatched,no_name_pair_candidate
tennis_data_uk,wta,2022,38,Citi Open,Washington,2022-08-04,wta_250,True,hard,R16,16,3,Raducanu E.,Osorio M.,10,17,2717.0,2302.0,2,0,7,6,7,6,,,,,,,completed,1.44,2.75,1.47,2.93,1.47,3.2,1.42,2.81,2022_38_washington_citi_open,2022_38_washington_citi_open_2022-08-04_R16_raducanu_e_osorio_m,1045,unmatched,no_name_pair_candidate
tennis_data_uk,wta,2022,48,Parma Ladies Open,Parma,2022-09-26,wta_250,True,clay,R32,32,3,Schmiedlova A.,Jani R-L.,118,195,545.0,341.0,2,0,6,2,6,4,,,,,,,completed,1.66,2.2,1.67,2.3,1.7,2.3,1.66,2.19,2022_48_parma_parma_ladies_open,2022_48_parma_parma_ladies_open_2022-09-26_R32_schmiedlova_a_jani_r_l,2041,unmatched,no_name_pair_candidate
