tour,year,tourney_id,tourney_number,tournament_name,tourney_level,surface,best_of,draw_size
atp,2001,2001-D065,1,1,1,1,2,1
atp,2001,2001-D067,1,1,1,1,2,1
atp,2001,2001-D068,1,1,1,1,2,1
atp,2001,2001-D069,1,1,1,1,2,1
atp,2001,2001-D070,1,1,1,1,2,1
atp,2001,2001-D072,1,1,1,1,2,1
atp,2001,2001-D073,1,1,1,1,2,1
atp,2001,2001-D074,1,1,1,1,2,1
atp,2001,2001-D075,1,1,1,1,2,1
atp,2001,2001-D076,1,1,1,1,2,1
atp,2001,2001-D077,1,1,1,1,2,1
atp,2001,2001-D080,1,1,1,1,2,1
atp,2001,2001-D081,1,1,1,1,2,1
atp,2002,2002-314,1,1,1,1,2,1
atp,2002,2002-319,1,1,1,1,2,1
atp,2002,2002-321,1,1,1,1,2,1
atp,2002,2002-328,1,1,1,1,2,1
atp,2002,2002-337,1,1,1,1,2,1
atp,2002,2002-352,1,1,1,1,2,1
atp,2002,2002-403,1,1,1,1,2,1
atp,2002,2002-410,1,1,1,1,2,1
atp,2002,2002-414,1,1,1,1,2,1
atp,2002,2002-416,1,1,1,1,2,1
atp,2002,2002-425,1,1,1,1,2,1
atp,2002,2002-429,1,1,1,1,2,1
atp,2002,2002-605,1,1,1,1,2,1
atp,2002,2002-D001,1,1,1,1,2,1
atp,2002,2002-D002,1,1,1,1,2,1
atp,2002,2002-D004,1,1,1,1,2,1
atp,2002,2002-D007,1,1,1,1,2,1
atp,2002,2002-D008,1,1,1,1,2,1
atp,2002,2002-D009,1,1,1,1,2,1
atp,2002,2002-D012,1,1,1,1,2,1
atp,2002,2002-D013,1,1,1,1,2,1
atp,2002,2002-D014,1,1,1,1,2,1
atp,2002,2002-D015,1,1,1,1,2,1
atp,2002,2002-D016,1,1,1,1,2,1
atp,2002,2002-D018,1,1,1,1,2,1
atp,2002,2002-D019,1,1,1,1,2,1
atp,2002,2002-D021,1,1,1,1,2,1
atp,2002,2002-D022,1,1,1,1,2,1
atp,2002,2002-D023,1,1,1,1,2,1
atp,2002,2002-D024,1,1,1,1,2,1
atp,2002,2002-D025,1,1,1,1,2,1
atp,2002,2002-D026,1,1,1,1,2,1
atp,2002,2002-D028,1,1,1,1,2,1
atp,2002,2002-D029,1,1,1,1,2,1
atp,2002,2002-D030,1,1,1,1,2,1
atp,2002,2002-D031,1,1,1,1,2,1
atp,2002,2002-D032,1,1,1,1,2,1
atp,2002,2002-D034,1,1,1,1,2,1
atp,2002,2002-D035,1,1,1,1,2,1
atp,2002,2002-D036,1,1,1,1,2,1
atp,2002,2002-D037,1,1,1,1,2,1
atp,2002,2002-D038,1,1,1,1,2,1
atp,2002,2002-D039,1,1,1,1,2,1
atp,2002,2002-D040,1,1,1,1,2,1
atp,2002,2002-D043,1,1,1,1,2,1
atp,2002,2002-D046,1,1,1,1,2,1
atp,2002,2002-D047,1,1,1,1,2,1
atp,2002,2002-D049,1,1,1,1,2,1
atp,2002,2002-D050,1,1,1,1,2,1
atp,2002,2002-D052,1,1,1,1,2,1
atp,2002,2002-D053,1,1,1,1,2,1
atp,2002,2002-D054,1,1,1,1,2,1
atp,2002,2002-D056,1,1,1,1,2,1
atp,2002,2002-D057,1,1,1,1,2,1
atp,2002,2002-D058,1,1,1,1,2,1
atp,2002,2002-D059,1,1,1,1,2,1
atp,2002,2002-D060,1,1,1,1,2,1
atp,2002,2002-D061,1,1,1,1,2,1
atp,2002,2002-D062,1,1,1,1,2,1
atp,2002,2002-D063,1,1,1,1,2,1
atp,2002,2002-D064,1,1,1,1,2,1
atp,2002,2002-D065,1,1,1,1,2,1
atp,2002,2002-D066,1,1,1,1,2,1
atp,2002,2002-D067,1,1,1,1,2,1
atp,2002,2002-D072,1,1,1,1,2,1
atp,2002,2002-D073,1,1,1,1,2,1
atp,2002,2002-D075,1,1,1,1,2,1
atp,2002,2002-D076,1,1,1,1,2,1
atp,2002,2002-D077,1,1,1,1,2,1
atp,2002,2002-D078,1,1,1,1,2,1
atp,2002,2002-D080,1,1,1,1,2,1
