tour,year,tourney_id,tourney_number,tournament_name,tourney_level,surface,best_of,draw_size,start_date,end_date,num_matches,num_rounds,num_completed_matches,num_defaulted_matches,num_retired_matches,num_walkover_matches,num_players,champion,runner_up,champion_avg_rank
atp,2000,2000-429,429,Stockholm,A,hard,3,32,2000-11-20,2000-11-20,31,5,29,0,0,2,32,Thomas Johansson,Yevgeny Kafelnikov,57.0
atp,2000,2000-433,433,Scottsdale,A,hard,3,32,2000-03-06,2000-03-06,31,5,29,0,1,1,32,Lleyton Hewitt,Tim Henman,18.0
atp,2000,2000-438,438,Moscow,A,carpet,3,32,2000-10-23,2000-10-23,31,5,30,0,1,0,32,Yevgeny Kafelnikov,David Prinosil,7.0
atp,2000,2000-439,439,Umag,A,clay,3,32,2000-07-17,2000-07-17,31,5,31,0,0,0,32,Marcelo Rios,Mariano Puerta,23.0
atp,2000,2000-440,440,s Hertogenbosch,A,grass,3,32,2000-06-19,2000-06-19,31,5,31,0,0,0,32,Patrick Rafter,Nicolas Escude,27.0
atp,2000,2000-441,441,Long Island,A,hard,3,48,2000-08-21,2000-08-21,47,6,43,0,3,1,48,Magnus Norman,Thomas Enqvist,3.0
atp,2000,2000-451,451,Doha,A,hard,3,32,2000-01-03,2000-01-03,31,5,28,0,3,0,32,Fabrice Santoro,Rainer Schuettler,34.0
atp,2000,2000-468,468,Estoril,A,clay,3,32,2000-04-10,2000-04-10,31,5,31,0,0,0,32,Carlos Moya,Francisco Clavet,50.0
atp,2000,2000-475,475,San Marino,A,clay,3,32,2000-07-24,2000-07-24,31,5,30,0,0,1,32,Alex Calatrava,Sergi Bruguera,115.0
atp,2000,2000-481,481,Copenhagen,A,hard,3,32,2000-02-28,2000-02-28,31,5,31,0,0,0,32,Andreas Vinciguerra,Magnus Larsson,80.0
atp,2000,2000-495,495,Dubai,A,hard,3,32,2000-02-07,2000-02-07,31,5,31,0,0,0,32,Nicolas Kiefer,Juan Carlos Ferrero,4.0
atp,2000,2000-496,496,Marseille,A,hard,3,32,2000-02-07,2000-02-07,31,5,30,0,1,0,32,Marc Rosset,Roger Federer,77.0
atp,2000,2000-499,499,Delray Beach,A,hard,3,32,2000-02-28,2000-02-28,31,5,30,0,1,0,32,Stefan Koubek,Alex Calatrava,33.0
atp,2000,2000-500,500,Halle,A,grass,3,32,2000-06-12,2000-06-12,31,5,31,0,0,0,32,David Prinosil,Richard Krajicek,130.0
atp,2000,2000-505,505,Santiago,A,clay,3,32,2000-02-28,2000-02-28,31,5,30,0,1,0,32,Gustavo Kuerten,Mariano Puerta,6.0
atp,2000,2000-520,520,Roland Garros,G,clay,5,128,2000-05-29,2000-05-29,127,7,120,1,6,0,128,Gustavo Kuerten,Magnus Norman,5.0
atp,2000,2000-540,540,Wimbledon,G,grass,5,128,2000-06-26,2000-06-26,127,7,123,0,4,0,128,Pete Sampras,Patrick Rafter,3.0
atp,2000,2000-560,560,US Open,G,hard,5,128,2000-08-28,2000-08-28,127,7,124,0,3,0,128,Marat Safin,Pete Sampras,7.0
atp,2000,2000-568,568,St. Petersburg,A,hard,3,32,2000-11-06,2000-11-06,31,5,31,0,0,0,32,Marat Safin,Dominik Hrbaty,3.0
atp,2000,2000-573,573,Mallorca,A,clay,3,32,2000-05-01,2000-05-01,31,5,31,0,0,0,32,Marat Safin,Mikael Tillstrom,20.0
atp,2000,2000-580,580,Australian Open,G,hard,5,128,2000-01-17,2000-01-17,127,7,124,0,3,0,128,Andre Agassi,Yevgeny Kafelnikov,1.0
atp,2000,2000-605,605,Masters Cup,F,hard,3,8,2000-11-27,2000-11-27,15,3,15,0,0,0,8,Gustavo Kuerten,Andre Agassi,2.0
atp,2000,2000-615,615,Dusseldorf,A,clay,3,64,2000-05-21,2000-05-21,26,2,23,0,3,0,19,Karol Kucera,Marat Safin,37.0
atp,2000,2000-620,620,Brighton,A,hard,3,32,2000-11-20,2000-11-20,31,5,28,1,0,2,32,Tim Henman,Dominik Hrbaty,10.0
atp,2000,2000-717,717,Orlando,A,clay,3,32,2000-05-01,2000-05-01,31,5,31,0,0,0,32,Fernando Gonzalez,Nicolas Massu,352.0
atp,2000,2000-73,73,Tashkent,A,hard,3,32,2000-09-11,2000-09-11,31,5,29,0,2,0,32,Marat Safin,Davide Sanguinetti,2.0
atp,2000,2000-741,741,Nottingham,A,grass,3,32,2000-06-19,2000-06-19,31,5,30,0,1,0,32,Sebastien Grosjean,Byron Black,32.0
atp,2000,2000-773,773,Bucharest,A,clay,3,32,2000-09-11,2000-09-11,31,5,29,0,2,0,32,Juan Balcells,Markus Hantschk,112.0
atp,2000,2000-807,807,Mexico City,A,clay,3,32,2000-02-21,2000-02-21,31,5,30,0,1,0,32,Juan Ignacio Chela,Mariano Puerta,129.0
atp,2000,2000-890,890,Shanghai,A,hard,3,32,2000-10-16,2000-10-16,31,5,29,0,0,2,32,Magnus Norman,Sjeng Schalken,4.0
atp,2000,2000-891,891,Chennai,A,hard,3,32,2000-01-03,2000-01-03,31,5,31,0,0,0,32,Jerome Golmard,Markus Hantschk,35.0
atp,2000,2000-96,96,Sydney Olympics,A,hard,3,64,2000-09-18,2000-09-18,64,7,64,0,0,0,64,Yevgeny Kafelnikov,Tommy Haas,8.0
atp,2000,2000-D001,D001,Davis Cup WG QF: USA vs CZE,D,carpet,5,4,2000-04-07,2000-04-07,4,1,4,0,0,0,4,,,
atp,2000,2000-D002,D002,Davis Cup WG QF: ESP vs RUS,D,clay,5,4,2000-04-07,2000-04-07,4,1,4,0,0,0,5,,,
atp,2000,2000-D003,D003,Davis Cup WG QF: BRA vs SVK,D,clay,5,4,2000-04-07,2000-04-07,4,1,4,0,0,0,4,,,
atp,2000,2000-D004,D004,Davis Cup WG QF: AUS vs GER,D,grass,3,4,2000-04-07,2000-04-07,4,1,4,0,0,0,5,,,
atp,2000,2000-D005,D005,Davis Cup G2 SF: VEN vs PAR,D,hard,3,4,2000-04-07,2000-04-07,4,1,4,0,0,0,6,,,
atp,2000,2000-D006,D006,Davis Cup G2 SF: GUA vs MEX,D,hard,3,4,2000-04-07,2000-04-07,4,1,4,0,0,0,6,,,
atp,2000,2000-D007,D007,Davis Cup G1 SF: CHI vs ARG,D,hard,5,4,2000-04-07,2000-04-07,4,1,2,0,0,2,4,,,
atp,2000,2000-D008,D008,Davis Cup G1 SF: PER vs ECU,D,clay,5,4,2000-04-06,2000-04-06,4,1,4,0,0,0,6,,,
atp,2000,2000-D009,D009,Davis Cup G1 SF: UZB vs NZL,D,hard,3,4,2000-04-07,2000-04-07,4,1,4,0,0,0,6,,,
atp,2000,2000-D010,D010,Davis Cup G1 SF: IND vs KOR,D,grass,5,4,2000-04-07,2000-04-07,4,1,4,0,0,0,5,,,
atp,2000,2000-D011,D011,Davis Cup G1 QF: FIN vs SWE,D,hard,5,4,2000-04-07,2000-04-07,4,1,4,0,0,0,5,,,
atp,2000,2000-D012,D012,Davis Cup G1 QF: ROU vs HUN,D,carpet,5,4,2000-04-07,2000-04-07,4,1,4,0,0,0,5,,,
atp,2000,2000-D013,D013,Davis Cup G1 QF: BLR vs RSA,D,carpet,5,4,2000-04-07,2000-04-07,4,1,4,0,0,0,4,,,
atp,2000,2000-D014,D014,Davis Cup G1 QF: MAR vs UKR,D,clay,5,4,2000-04-07,2000-04-07,4,1,4,0,0,0,5,,,
atp,2000,2000-D015,D015,Davis Cup WG SF: ESP vs USA,D,clay,3,4,2000-07-21,2000-07-21,4,1,4,0,0,0,7,,,
atp,2000,2000-D016,D016,Davis Cup WG SF: AUS vs BRA,D,grass,3,4,2000-07-14,2000-07-14,4,1,4,0,0,0,5,,,
atp,2000,2000-D017,D017,Davis Cup G1 PO: CHN vs THA,D,hard,5,4,2000-04-07,2000-04-07,4,1,4,0,0,0,4,,,
atp,2000,2000-D018,D018,Davis Cup G1 PO: JPN vs LIB,D,carpet,5,4,2000-04-07,2000-04-07,4,1,4,0,0,0,4,,,
atp,2000,2000-D019,D019,Davis Cup G1 PO: LIB vs CHN,D,hard,5,4,2000-10-06,2000-10-06,4,1,4,0,0,0,5,,,
atp,2000,2000-D020,D020,Davis Cup G2 PO: URU vs ESA,D,clay,5,4,2000-04-07,2000-04-07,4,1,4,0,0,0,6,,,
atp,2000,2000-D021,D021,Davis Cup G2 PO: CRC vs CUB,D,hard,5,4,2000-04-07,2000-04-07,4,1,4,0,0,0,5,,,
atp,2000,2000-D022,D022,Davis Cup G2 SF: TPE vs PAK,D,clay,5,4,2000-04-07,2000-04-07,4,1,4,0,0,0,5,,,
atp,2000,2000-D023,D023,Davis Cup G2 SF: MAS vs INA,D,hard,3,4,2000-04-07,2000-04-07,4,1,4,0,0,0,6,,,
atp,2000,2000-D024,D024,Davis Cup G1 PO: CAN vs ARG,D,hard,5,4,2000-07-21,2000-07-21,4,1,4,0,0,0,4,,,
atp,2000,2000-D025,D025,Davis Cup G1 PO: BAH vs COL,D,hard,5,4,2000-07-21,2000-07-21,4,1,3,0,1,0,6,,,
atp,2000,2000-D026,D026,Davis Cup G1 PO: COL vs ARG,D,clay,3,4,2000-10-06,2000-10-06,4,1,4,0,0,0,7,,,
atp,2000,2000-D027,D027,Davis Cup G2 F: MEX vs VEN,D,hard,3,4,2000-07-21,2000-07-21,4,1,4,0,0,0,4,,,
atp,2000,2000-D028,D028,Davis Cup G2 F: INA vs TPE,D,hard,3,4,2000-10-06,2000-10-06,4,1,4,0,0,0,4,,,
atp,2000,2000-D029,D029,Davis Cup G2 PO: HKG vs KAZ,D,hard,5,4,2000-04-07,2000-04-07,4,1,4,0,0,0,4,,,
atp,2000,2000-D030,D030,Davis Cup G2 PO: PHI vs IRI,D,clay,5,4,2000-03-17,2000-03-17,4,1,4,0,0,0,6,,,
atp,2000,2000-D031,D031,Davis Cup G2 R1: LAT vs CRO,D,carpet,3,4,2000-04-28,2000-04-28,4,1,4,0,0,0,8,,,
atp,2000,2000-D032,D032,Davis Cup G2 R1: LUX vs IRL,D,clay,5,4,2000-04-28,2000-04-28,4,1,4,0,0,0,5,,,
atp,2000,2000-D033,D033,Davis Cup G2 R1: TUR vs DEN,D,hard,5,4,2000-04-28,2000-04-28,4,1,3,0,1,0,6,,,
atp,2000,2000-D034,D034,Davis Cup G2 R1: LTU vs CIV,D,carpet,5,4,2000-04-28,2000-04-28,4,1,4,0,0,0,4,,,
atp,2000,2000-D035,D035,Davis Cup G2 R1: EGY vs SLO,D,clay,5,4,2000-04-28,2000-04-28,4,1,4,0,0,0,5,,,
atp,2000,2000-D036,D036,Davis Cup G2 R1: POL vs EST,D,clay,5,4,2000-04-28,2000-04-28,4,1,4,0,0,0,6,,,
atp,2000,2000-D037,D037,Davis Cup G2 R1: BUL vs GRE,D,clay,5,4,2000-04-28,2000-04-28,4,1,4,0,0,0,5,,,
atp,2000,2000-D038,D038,Davis Cup G2 R1: NOR vs ISR,D,clay,5,4,2000-04-28,2000-04-28,4,1,4,0,0,0,5,,,
atp,2000,2000-D039,D039,Davis Cup G2 QF: IRL vs CRO,D,carpet,3,4,2000-07-14,2000-07-14,4,1,4,0,0,0,7,,,
atp,2000,2000-D040,D040,Davis Cup G2 QF: DEN vs CIV,D,clay,3,4,2000-07-21,2000-07-21,4,1,4,0,0,0,7,,,
atp,2000,2000-D041,D041,Davis Cup G2 QF: POL vs SLO,D,clay,5,4,2000-07-21,2000-07-21,4,1,4,0,0,0,4,,,
atp,2000,2000-D042,D042,Davis Cup G2 QF: GRE vs NOR,D,clay,5,4,2000-07-21,2000-07-21,4,1,4,0,0,0,6,,,
atp,2000,2000-D043,D043,Davis Cup G2 SF: CRO vs CIV,D,carpet,3,4,2000-10-06,2000-10-06,4,1,4,0,0,0,6,,,
atp,2000,2000-D044,D044,Davis Cup G2 SF: GRE vs SLO,D,clay,5,4,2000-10-06,2000-10-06,4,1,4,0,0,0,5,,,
atp,2000,2000-D045,D045,Davis Cup G2 PO: LUX vs LAT,D,clay,3,4,2000-07-21,2000-07-21,4,1,4,0,0,0,7,,,
atp,2000,2000-D046,D046,Davis Cup G2 PO: TUR vs LTU,D,hard,5,4,2000-07-21,2000-07-21,4,1,4,0,0,0,5,,,
atp,2000,2000-D047,D047,Davis Cup G2 PO: EST vs EGY,D,carpet,3,4,2000-07-21,2000-07-21,4,1,4,0,0,0,6,,,
