source,tour,year,uk_tournament_id,tournament_name,location,match_date,series,is_outdoor,surface,round,players_remaining,best_of,winner_name,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,winner_sets,loser_sets,winner_set_1_games,loser_set_1_games,winner_set_2_games,loser_set_2_games,winner_set_3_games,loser_set_3_games,winner_set_4_games,loser_set_4_games,winner_set_5_games,loser_set_5_games,match_status,odds_b365_winner,odds_b365_loser,odds_pinnacle_winner,odds_pinnacle_loser,odds_max_winner,odds_max_loser,odds_avg_winner,odds_avg_loser,source_event_key,source_match_key,canonical_match_key,official_tournament_id,canonical_tourney_id,canonical_tourney_name,canonical_round,canonical_winner_id,canonical_winner_name,canonical_loser_id,canonical_loser_name,match_method,review_flag,data_quality_flag
tennis_data_uk,wta,2014,1,ASB Classic,Auckland,2013-12-30,international,True,hard,R32,32,3,Muguruza G.,Mchale C.,63,66,933,882.0,2,0,6,4,6,3,,,,,,,completed,2.2,1.61,2.43,1.62,2.58,1.67,2.34,1.57,2014_1_auckland_asb_classic,2014_1_auckland_asb_classic_2013-12-30_R32_muguruza_g_mchale_c,2014-W-INT-NZL-01A-2014_6,1049,2014-W-INT-NZL-01A-2014,Auckland,R32,202469,Garbine Muguruza,201539,Christina Mchale,tournament_rank_unique,False,
tennis_data_uk,wta,2014,1,ASB Classic,Auckland,2013-12-30,international,True,hard,R32,32,3,Meusburger Y.,Barthel M.,49,34,1138,1545.0,2,0,6,4,6,3,,,,,,,completed,2.5,1.5,2.39,1.64,2.5,1.67,2.38,1.56,2014_1_auckland_asb_classic,2014_1_auckland_asb_classic_2013-12-30_R32_meusburger_y_barthel_m,2014-W-INT-NZL-01A-2014_8,1049,2014-W-INT-NZL-01A-2014,Auckland,R32,201423,Yvonne Meusburger,201621,Mona Barthel,tournament_rank_unique,False,
tennis_data_uk,wta,2014,1,ASB Classic,Auckland,2013-12-30,international,True,hard,R32,32,3,Pliskova Ka.,Ormaechea P.,71,62,839,954.0,2,0,7,6,6,1,,,,,,,completed,1.57,2.25,1.61,2.46,1.67,2.46,1.6,2.3,2014_1_auckland_asb_classic,2014_1_auckland_asb_classic_2013-12-30_R32_pliskova_ka_ormaechea_p,2014-W-INT-NZL-01A-2014_11,1049,2014-W-INT-NZL-01A-2014,Auckland,R32,201662,Karolina Pliskova,202440,Paula Ormaechea,tournament_rank_unique,False,
tennis_data_uk,wta,2014,1,ASB Classic,Auckland,2013-12-30,international,True,hard,R32,32,3,Hampton J.,Paszek T.,28,179,1781,355.0,2,1,1,6,6,0,6,3,,,,,completed,1.2,4.33,1.24,4.44,1.29,4.6,1.26,3.82,2014_1_auckland_asb_classic,2014_1_auckland_asb_classic_2013-12-30_R32_hampton_j_paszek_t,2014-W-INT-NZL-01A-2014_4,1049,2014-W-INT-NZL-01A-2014,Auckland,R32,201600,Jamie Hampton,201481,Tamira Paszek,tournament_rank_unique,False,
tennis_data_uk,wta,2014,1,ASB Classic,Auckland,2013-12-30,international,True,hard,R32,32,3,Larsson J.,Dominguez Lino L.,84,69,753,842.0,2,0,7,5,6,0,,,,,,,completed,1.61,2.2,1.68,2.31,1.68,2.4,1.6,2.28,2014_1_auckland_asb_classic,2014_1_auckland_asb_classic_2013-12-30_R32_larsson_j_dominguez_lino_l,2014-W-INT-NZL-01A-2014_15,1049,2014-W-INT-NZL-01A-2014,Auckland,R32,201596,Johanna Larsson,201452,Lourdes Dominguez Lino,tournament_rank_unique,False,
tennis_data_uk,wta,2014,1,ASB Classic,Auckland,2013-12-30,international,True,hard,R32,32,3,Nara K.,Cadantu A.,81,61,778,967.0,1,0,6,1,4,0,,,,,,,retired,1.4,2.75,1.53,2.67,1.53,2.95,1.41,2.78,2014_1_auckland_asb_classic,2014_1_auckland_asb_classic_2013-12-30_R32_nara_k_cadantu_a,2014-W-INT-NZL-01A-2014_14,1049,2014-W-INT-NZL-01A-2014,Auckland,R32,201597,Kurumi Nara,202456,Alexandra Cadantu Ignatik,tournament_rank_unique,False,
tennis_data_uk,wta,2014,1,ASB Classic,Auckland,2013-12-30,international,True,hard,R32,32,3,Williams V.,Hlavackova A.,47,134,1147,470.0,2,0,6,3,7,6,,,,,,,completed,1.16,4.5,1.2,5.07,1.25,5.1,1.2,4.41,2014_1_auckland_asb_classic,2014_1_auckland_asb_classic_2013-12-30_R32_williams_v_hlavackova_a,2014-W-INT-NZL-01A-2014_7,1049,2014-W-INT-NZL-01A-2014,Auckland,R32,200748,Venus Williams,201599,Andrea Hlavackova,tournament_rank_unique,False,
tennis_data_uk,wta,2014,1,ASB Classic,Auckland,2013-12-30,international,True,hard,R32,32,3,Pliskova Kr.,Wickmayer Y.,130,51,487,1127.0,2,0,7,6,6,0,,,,,,,completed,2.62,1.44,2.47,1.6,2.68,1.63,2.35,1.57,2014_1_auckland_asb_classic,2014_1_auckland_asb_classic_2013-12-30_R32_pliskova_kr_wickmayer_y,2014-W-INT-NZL-01A-2014_3,1049,2014-W-INT-NZL-01A-2014,Auckland,R32,201697,Kristyna Pliskova,201518,Yanina Wickmayer,tournament_rank_unique,False,
tennis_data_uk,wta,2014,1,ASB Classic,Auckland,2013-12-30,international,True,hard,R32,32,3,Flipkens K.,Puig M.,20,56,2495,1061.0,2,0,6,4,7,5,,,,,,,completed,1.53,2.37,1.58,2.52,1.67,2.54,1.59,2.3,2014_1_auckland_asb_classic,2014_1_auckland_asb_classic_2013-12-30_R32_flipkens_k_puig_m,2014-W-INT-NZL-01A-2014_12,1049,2014-W-INT-NZL-01A-2014,Auckland,R32,201465,Kirsten Flipkens,201620,Monica Puig,tournament_rank_unique,False,
tennis_data_uk,wta,2014,1,ASB Classic,Auckland,2013-12-31,international,True,hard,R32,32,3,Ishizu S.,Kontaveit A.,204,249,311,240.0,2,1,6,3,1,6,6,3,,,,,completed,3.5,1.28,3.9,1.29,3.9,1.36,3.34,1.31,2014_1_auckland_asb_classic,2014_1_auckland_asb_classic_2013-12-31_R32_ishizu_s_kontaveit_a,2014-W-INT-NZL-01A-2014_10,1049,2014-W-INT-NZL-01A-2014,Auckland,R32,201707,Sachie Ishizu,204426,Anett Kontaveit,tournament_rank_unique,False,
