source,tour,year,uk_tournament_id,tournament_name,location,match_date,series,is_outdoor,surface,round,players_remaining,best_of,winner_name,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,winner_sets,loser_sets,winner_set_1_games,loser_set_1_games,winner_set_2_games,loser_set_2_games,winner_set_3_games,loser_set_3_games,winner_set_4_games,loser_set_4_games,winner_set_5_games,loser_set_5_games,match_status,odds_b365_winner,odds_b365_loser,odds_pinnacle_winner,odds_pinnacle_loser,odds_max_winner,odds_max_loser,odds_avg_winner,odds_avg_loser,source_event_key,source_match_key,official_tournament_id,linkage_status,unmatched_reason
tennis_data_uk,atp,2011,3,Qatar Exxon Mobil Open,Doha,2011-01-05,atp_250,True,hard,R16,16,3,Tsonga J.W.,Bubka S.,13,321,2345,137,2,0,6,2,6,4,,,,,,,completed,1.04,10.0,1.06,12.25,1.07,15.85,1.05,9.3,2011_3_doha_qatar_exxon_mobil_open,2011_3_doha_qatar_exxon_mobil_open_2011-01-05_R16_tsonga_j_w_bubka_s,451,unmatched,no_name_pair_candidate
tennis_data_uk,atp,2011,8,Movistar Open,Santiago,2011-01-31,atp_250,True,clay,R32,32,3,Ramos-Vinolas A.,Mayer L.,125,38,458,1098,2,0,6,4,6,4,,,,,,,completed,2.1,1.66,2.07,1.83,2.15,1.85,2.02,1.74,2011_8_santiago_movistar_open,2011_8_santiago_movistar_open_2011-01-31_R32_ramos_vinolas_a_mayer_l,505,unmatched,no_name_pair_candidate
tennis_data_uk,atp,2011,10,Brasil Open,Costa Do Sauipe,2011-02-09,atp_250,True,clay,R16,16,3,Dolgopolov O.,Ramirez-Hidalgo R.,32,117,1273,470,2,0,7,5,6,4,,,,,,,completed,1.22,4.0,1.3,3.88,1.3,4.33,1.25,3.77,2011_10_costa_do_sauipe_brasil_open,2011_10_costa_do_sauipe_brasil_open_2011-02-09_R16_dolgopolov_o_ramirez_hidalgo_r,533,unmatched,no_name_pair_candidate
tennis_data_uk,atp,2011,63,Valencia Open 500,Valencia,2011-11-02,atp_500,False,hard,R32,32,3,Bogomolov A.,Lopez F.,33,511,1170,62,2,1,4,6,6,4,7,6,,,,,completed,2.75,1.4,2.8,1.49,2.8,1.53,2.64,1.45,2011_63_valencia_valencia_open_500,2011_63_valencia_valencia_open_500_2011-11-02_R32_bogomolov_a_lopez_f,573,unmatched,no_name_pair_candidate
