source,tour,year,uk_tournament_id,tournament_name,location,match_date,series,is_outdoor,surface_uk,round_uk,players_remaining,best_of_uk,winner_name_uk,loser_name_uk,winner_rank,loser_rank,winner_rank_points_uk,loser_rank_points_uk,winner_sets,loser_sets,winner_set_1_games,loser_set_1_games,winner_set_2_games,loser_set_2_games,winner_set_3_games,loser_set_3_games,winner_set_4_games,loser_set_4_games,winner_set_5_games,loser_set_5_games,match_status,odds_b365_winner,odds_b365_loser,odds_pinnacle_winner,odds_pinnacle_loser,odds_max_winner,odds_max_loser,odds_avg_winner,odds_avg_loser,source_event_key,source_match_key,official_tournament_id,tourney_id,tourney_name,surface_sk,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name_sk,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name_sk,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of_sk,round_sk,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank_points_sk,loser_rank_points_sk,canonical_match_key,source_year,match_type,match_level,source_candidate_count,canonical_candidate_count,is_unique,round_agrees,winner_rank_points_diff,loser_rank_points_diff,round,winner_rank_uk,loser_rank_uk,winner_rank_sk,loser_rank_sk,winner_rank_agrees,loser_rank_agrees
tennis_data_uk,atp,2011,65,Masters Cup,London,2011-11-20,tour_finals,False,hard,RR,8,3,Federer R.,Tsonga J.W.,4,6,6670,3535,2,1,6,2,2,6,6,4,,,,,completed,1.16,5.0,1.21,5.1,1.22,5.2,1.19,4.62,2011_65_london_masters_cup,2011_65_london_masters_cup_2011-11-20_RR_federer_r_tsonga_j_w,605,2011-605,Tour Finals,Hard,16,F,2011-11-20,6,103819,,,Roger Federer,R,185,SUI,30.2,104542,,,Jo-Wilfried Tsonga,R,188,FRA,26.5,6-2 2-6 6-4,3,RR,89,3,1,73,48,37,15,13,0,2,6,3,61,33,25,17,13,2,5,6670,3535,2011-605_6,2011,singles,main,2,2,False,True,0,0,,,,,,,
tennis_data_uk,atp,2011,65,Masters Cup,London,2011-11-20,tour_finals,False,hard,RR,8,3,Federer R.,Tsonga J.W.,4,6,6670,3535,2,1,6,2,2,6,6,4,,,,,completed,1.16,5.0,1.21,5.1,1.22,5.2,1.19,4.62,2011_65_london_masters_cup,2011_65_london_masters_cup_2011-11-20_RR_federer_r_tsonga_j_w,605,2011-605,Tour Finals,Hard,16,F,2011-11-20,8,103819,,,Roger Federer,R,185,SUI,30.2,104542,,,Jo-Wilfried Tsonga,R,188,FRA,26.5,6-3 6-7(6) 6-3,3,F,139,11,2,98,54,43,26,16,2,3,11,5,98,49,36,26,14,6,9,6670,3535,2011-605_8,2011,singles,main,2,2,False,False,0,0,,,,,,,
tennis_data_uk,atp,2011,65,Masters Cup,London,2011-11-27,tour_finals,False,hard,F,2,3,Federer R.,Tsonga J.W.,4,6,6670,3535,2,1,6,3,6,7,6,3,,,,,completed,1.25,4.0,1.29,4.08,1.34,4.35,1.26,3.81,2011_65_london_masters_cup,2011_65_london_masters_cup_2011-11-27_F_federer_r_tsonga_j_w,605,2011-605,Tour Finals,Hard,16,F,2011-11-20,6,103819,,,Roger Federer,R,185,SUI,30.2,104542,,,Jo-Wilfried Tsonga,R,188,FRA,26.5,6-2 2-6 6-4,3,RR,89,3,1,73,48,37,15,13,0,2,6,3,61,33,25,17,13,2,5,6670,3535,2011-605_6,2011,singles,main,2,2,False,False,0,0,,,,,,,
tennis_data_uk,atp,2011,65,Masters Cup,London,2011-11-27,tour_finals,False,hard,F,2,3,Federer R.,Tsonga J.W.,4,6,6670,3535,2,1,6,3,6,7,6,3,,,,,completed,1.25,4.0,1.29,4.08,1.34,4.35,1.26,3.81,2011_65_london_masters_cup,2011_65_london_masters_cup_2011-11-27_F_federer_r_tsonga_j_w,605,2011-605,Tour Finals,Hard,16,F,2011-11-20,8,103819,,,Roger Federer,R,185,SUI,30.2,104542,,,Jo-Wilfried Tsonga,R,188,FRA,26.5,6-3 6-7(6) 6-3,3,F,139,11,2,98,54,43,26,16,2,3,11,5,98,49,36,26,14,6,9,6670,3535,2011-605_8,2011,singles,main,2,2,False,True,0,0,,,,,,,
