source,tour,year,uk_tournament_id,tournament_name,location,match_date,series,is_outdoor,surface,round,players_remaining,best_of,winner_name,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,winner_sets,loser_sets,winner_set_1_games,loser_set_1_games,winner_set_2_games,loser_set_2_games,winner_set_3_games,loser_set_3_games,winner_set_4_games,loser_set_4_games,winner_set_5_games,loser_set_5_games,match_status,odds_b365_winner,odds_b365_loser,odds_pinnacle_winner,odds_pinnacle_loser,odds_max_winner,odds_max_loser,odds_avg_winner,odds_avg_loser,source_event_key,source_match_key,official_tournament_id,linkage_status,unmatched_reason
tennis_data_uk,wta,2020,4,Adelaide International,Adelaide,2020-01-15,premier,True,hard,R16,16,3,Kerber A.,Yastremska D.,18,24,2175.0,1820.0,0,1,3,6,0,2,,,,,,,retired,2.0,1.72,2.17,1.78,2.17,1.83,2.07,1.74,2020_4_adelaide_adelaide_international,2020_4_adelaide_adelaide_international_2020-01-15_R16_kerber_a_yastremska_d,2030,unmatched,no_name_pair_candidate
tennis_data_uk,wta,2020,5,Hobart International,Hobart,2020-01-13,international,True,hard,R32,32,3,Peterson R.,Ferro F.,44,63,1275.0,926.0,0,0,4,4,,,,,,,,,retired,1.36,3.0,1.34,3.57,1.4,3.6,1.33,3.23,2020_5_hobart_hobart_international,2020_5_hobart_hobart_international_2020-01-13_R32_peterson_r_ferro_f,1050,unmatched,no_name_pair_candidate
tennis_data_uk,wta,2020,5,Hobart International,Hobart,2020-01-16,international,True,hard,QF,8,3,Muguruza G.,Kudermetova V.,34,42,1467.0,1328.0,,,,,,,,,,,,,walkover,1.72,2.1,1.81,2.15,1.83,2.21,1.74,2.08,2020_5_hobart_hobart_international,2020_5_hobart_hobart_international_2020-01-16_QF_muguruza_g_kudermetova_v,1050,unmatched,no_name_pair_candidate
tennis_data_uk,wta,2020,22,French Open,Paris,2020-09-27,grand_slam,True,clay,R128,128,3,Gavrilova D.,Yastremska D.,785,28,26.0,1925.0,2,0,6,4,6,3,,,,,,,completed,4.5,1.2,4.76,1.22,4.8,1.28,4.44,1.21,2020_22_paris_french_open,2020_22_paris_french_open_2020-09-27_R128_gavrilova_d_yastremska_d,520,unmatched,no_name_pair_candidate
tennis_data_uk,wta,2020,22,French Open,Paris,2020-09-30,grand_slam,True,clay,R64,64,3,Bouchard E.,Gavrilova D.,168,785,411.0,26.0,2,1,5,7,6,4,6,3,,,,,completed,1.5,2.62,1.51,2.74,1.53,2.75,1.49,2.64,2020_22_paris_french_open,2020_22_paris_french_open_2020-09-30_R64_bouchard_e_gavrilova_d,520,unmatched,no_name_pair_candidate
