source,tour,year,uk_tournament_id,tournament_name,location,match_date,series,is_outdoor,surface,round,players_remaining,best_of,winner_name,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,winner_sets,loser_sets,winner_set_1_games,loser_set_1_games,winner_set_2_games,loser_set_2_games,winner_set_3_games,loser_set_3_games,winner_set_4_games,loser_set_4_games,winner_set_5_games,loser_set_5_games,match_status,odds_b365_winner,odds_b365_loser,odds_pinnacle_winner,odds_pinnacle_loser,odds_max_winner,odds_max_loser,odds_avg_winner,odds_avg_loser,source_event_key,source_match_key,official_tournament_id,linkage_status,unmatched_reason
tennis_data_uk,wta,2017,21,Porsche Tennis Grand Prix,Stuttgart,2017-04-27,premier,True,clay,R16,16,3,Sharapova M.,Makarova E.,,43,,1250.0,2,0,7,5,6,1,,,,,,,completed,1.22,4.0,1.31,3.85,1.31,4.1,1.26,3.78,2017_21_stuttgart_porsche_tennis_grand_prix,2017_21_stuttgart_porsche_tennis_grand_prix_2017-04-27_R16_sharapova_m_makarova_e,1051,unmatched,no_rank_candidate
tennis_data_uk,wta,2017,30,Aegon Open,Nottingham,2017-06-13,international,True,grass,R32,32,3,Riske A.,Watson H.,37,119,1355.0,452.0,2,0,6,2,6,3,,,,,,,completed,1.61,2.2,1.63,2.4,1.7,2.46,1.59,2.32,2017_30_nottingham_aegon_open,2017_30_nottingham_aegon_open_2017-06-13_R32_riske_a_watson_h,1080,unmatched,no_name_pair_candidate
tennis_data_uk,wta,2017,30,Aegon Open,Nottingham,2017-06-15,international,True,grass,R16,16,3,Rybarikova M.,Riske A.,192,37,289.0,1355.0,2,1,6,2,6,7,7,5,,,,,completed,1.61,2.2,1.74,2.23,1.9,2.23,1.74,2.06,2017_30_nottingham_aegon_open,2017_30_nottingham_aegon_open_2017-06-15_R16_rybarikova_m_riske_a,1080,unmatched,no_name_pair_candidate
tennis_data_uk,wta,2017,30,Aegon Open,Nottingham,2017-06-18,international,True,grass,F,2,3,Konta J.,Vekic D.,75,8,800.0,4330.0,2,1,2,6,7,6,7,5,,,,,completed,5.0,1.16,5.77,1.18,6.0,1.23,4.98,1.17,2017_30_nottingham_aegon_open,2017_30_nottingham_aegon_open_2017-06-18_F_konta_j_vekic_d,1080,unmatched,no_name_pair_candidate
tennis_data_uk,wta,2017,42,Western & Southern Financial Group Women's Open,Cincinnati,2017-08-14,premier,True,hard,R64,64,3,Gavrilova D.,Mladenovic K.,26,13,1740.0,3155.0,2,0,6,0,7,6,,,,,,,completed,1.66,2.1,1.85,2.04,1.91,2.2,1.78,2.03,2017_42_cincinnati_western_southern_financial_group_women_s_open,2017_42_cincinnati_western_southern_financial_group_women_s_open_2017-08-14_R64_gavrilova_d_mladenovic_k,1017,unmatched,no_name_pair_candidate
tennis_data_uk,wta,2017,47,Guangzhou Open,Guangzhou,2017-09-18,international,True,hard,R32,32,3,Barthel M.,Lu J.J,51,276,1123.0,181.0,2,1,6,0,4,6,6,3,,,,,completed,1.44,2.62,1.51,2.72,1.51,2.75,1.49,2.62,2017_47_guangzhou_guangzhou_open,2017_47_guangzhou_guangzhou_open_2017-09-18_R32_barthel_m_lu_j_j,1023,unmatched,no_name_pair_candidate
tennis_data_uk,wta,2017,54,Generali Ladies Linz,Linz,2017-10-10,international,False,hard,R32,32,3,Kuzmova V.,Friedsam A.L.,142,412,408.0,100.0,2,0,6,2,7,5,,,,,,,completed,1.44,2.62,1.47,2.87,1.53,2.9,1.46,2.7,2017_54_linz_generali_ladies_linz,2017_54_linz_generali_ladies_linz_2017-10-10_R32_kuzmova_v_friedsam_a_l,528,unmatched,no_name_pair_candidate
tennis_data_uk,wta,2017,55,Tianjin Open,Tianjin,2017-10-11,international,True,hard,R32,32,3,Hsieh S.W.,Lu J.J,96,275,663.0,189.0,2,0,6,2,6,2,,,,,,,completed,1.53,2.37,1.56,2.56,1.57,2.6,1.55,2.44,2017_55_tianjin_tianjin_open,2017_55_tianjin_tianjin_open_2017-10-11_R32_hsieh_s_w_lu_j_j,1076,unmatched,no_name_pair_candidate
